Date,Open,High,Low,Close,Volume
30-Dec-16,10.13,10.34,10.00,10.30,124511
29-Dec-16,10.16,10.33,10.06,10.15,66747
28-Dec-16,10.30,10.39,10.16,10.19,92080
27-Dec-16,10.20,10.40,10.20,10.35,67472
23-Dec-16,10.25,10.34,10.14,10.22,45619
22-Dec-16,10.60,10.61,10.21,10.25,54203
21-Dec-16,10.27,10.65,10.21,10.62,170450
20-Dec-16,10.38,10.51,10.23,10.31,124721
19-Dec-16,10.38,10.54,10.31,10.34,57390
16-Dec-16,10.46,10.55,10.39,10.41,83882
15-Dec-16,10.59,10.59,10.37,10.41,46953
14-Dec-16,10.60,10.65,10.35,10.43,54248
13-Dec-16,10.71,10.76,10.55,10.62,61388
12-Dec-16,10.72,10.80,10.67,10.70,45815
9-Dec-16,10.38,10.75,10.38,10.72,78054
8-Dec-16,10.08,10.51,10.06,10.46,169619
7-Dec-16,10.05,10.21,10.03,10.10,110148
6-Dec-16,10.17,10.17,10.00,10.03,86474
5-Dec-16,10.12,10.38,10.10,10.17,103989
2-Dec-16,10.09,10.28,9.99,10.15,84658
1-Dec-16,9.93,10.19,9.65,10.05,161222
30-Nov-16,10.17,10.24,9.87,9.92,177479
29-Nov-16,10.11,10.24,10.10,10.13,32377
28-Nov-16,10.26,10.26,10.12,10.15,31839
25-Nov-16,10.30,10.30,10.21,10.25,14425
23-Nov-16,10.11,10.38,10.05,10.29,66095
22-Nov-16,10.22,10.29,10.07,10.17,100082
21-Nov-16,10.07,10.24,9.71,10.19,54289
18-Nov-16,10.09,10.23,10.00,10.11,163459
17-Nov-16,10.02,10.18,10.01,10.07,54124
16-Nov-16,10.02,10.18,9.96,10.04,111982
15-Nov-16,9.90,10.12,9.70,10.02,42574
14-Nov-16,10.16,10.28,9.98,10.01,72154
11-Nov-16,10.20,10.29,10.03,10.18,162111
10-Nov-16,10.17,10.32,10.09,10.13,110362
9-Nov-16,9.61,10.19,9.27,10.14,101613
8-Nov-16,9.70,9.86,9.69,9.75,54430
7-Nov-16,9.64,9.93,9.37,9.79,106600
4-Nov-16,9.50,10.12,9.25,9.75,123959
3-Nov-16,10.53,10.60,10.18,10.24,65827
2-Nov-16,10.39,10.48,10.28,10.45,42635
1-Nov-16,10.52,10.60,10.36,10.38,54966
31-Oct-16,10.57,10.61,10.43,10.55,38857
28-Oct-16,10.58,10.61,10.53,10.56,35698
27-Oct-16,10.58,10.58,10.14,10.55,35679
26-Oct-16,10.59,10.62,10.45,10.50,22449
25-Oct-16,10.37,10.63,10.26,10.60,48529
24-Oct-16,10.55,10.67,10.00,10.59,22989
21-Oct-16,10.52,10.70,10.52,10.59,19883
20-Oct-16,10.69,10.69,9.93,10.61,83812
19-Oct-16,10.53,10.74,10.36,10.69,40367
18-Oct-16,10.68,10.68,10.51,10.51,36232
17-Oct-16,10.70,10.74,10.58,10.61,46012
