Date,Open,High,Low,Close,Volume
30-Dec-16,90.75,91.47,90.07,90.32,932434
29-Dec-16,89.90,91.07,89.90,90.74,963328
28-Dec-16,89.90,90.39,89.30,89.98,746480
27-Dec-16,89.97,91.12,89.62,90.10,954650
23-Dec-16,91.00,92.34,89.24,89.45,985632
22-Dec-16,92.75,92.88,90.01,90.73,1145397
21-Dec-16,92.69,93.31,92.27,92.81,568250
20-Dec-16,93.32,94.06,92.54,92.92,1029508
19-Dec-16,94.35,95.34,93.00,93.24,1127992
16-Dec-16,97.07,97.10,93.46,94.75,1806898
15-Dec-16,101.60,101.67,95.67,96.93,2450481
14-Dec-16,103.19,103.86,101.17,101.75,1167676
13-Dec-16,104.11,104.90,103.54,103.76,881973
12-Dec-16,108.38,108.91,103.24,103.77,1044440
9-Dec-16,108.83,109.74,108.44,109.00,488162
8-Dec-16,109.40,110.42,108.23,108.88,603341
7-Dec-16,106.98,109.32,106.90,108.96,631498
6-Dec-16,108.09,108.28,106.95,107.42,558689
5-Dec-16,106.64,108.74,105.94,108.19,523277
2-Dec-16,105.18,107.25,104.16,105.72,726882
1-Dec-16,105.05,106.51,104.14,104.37,905663
30-Nov-16,107.98,108.87,104.38,104.61,1583266
29-Nov-16,110.48,110.87,108.09,108.61,1033584
28-Nov-16,111.63,112.13,109.87,110.91,593289
25-Nov-16,112.54,113.06,111.96,112.17,114981
23-Nov-16,112.82,114.00,111.70,112.52,560513
22-Nov-16,111.33,113.75,110.49,113.68,486520
21-Nov-16,110.29,111.74,110.14,110.57,494543
18-Nov-16,112.89,113.27,110.15,110.28,693280
17-Nov-16,112.73,113.67,111.70,113.57,858454
16-Nov-16,111.71,113.68,111.71,111.92,856336
15-Nov-16,111.59,113.59,110.48,113.17,1575196
14-Nov-16,107.15,112.39,106.93,111.59,1683714
11-Nov-16,106.84,108.88,103.72,107.10,1251875
10-Nov-16,103.27,110.45,103.10,106.26,2007438
9-Nov-16,97.08,103.00,96.10,102.15,1619566
8-Nov-16,99.64,100.00,98.14,98.91,752754
7-Nov-16,100.09,100.41,99.26,99.83,817351
4-Nov-16,97.95,100.13,97.95,98.59,625624
3-Nov-16,98.14,98.32,97.35,97.64,531414
2-Nov-16,97.96,99.31,97.29,97.76,452178
1-Nov-16,98.54,100.44,97.34,98.66,707573
31-Oct-16,98.20,98.50,97.56,98.10,560733
28-Oct-16,98.53,100.16,98.05,98.14,605481
27-Oct-16,98.31,98.80,97.40,97.83,411585
26-Oct-16,97.34,99.10,97.27,98.05,414616
25-Oct-16,96.50,98.94,96.10,97.82,843789
24-Oct-16,97.13,98.83,97.13,98.60,710183
21-Oct-16,96.58,96.78,94.89,96.63,642552
20-Oct-16,98.73,98.73,97.10,97.59,632436
19-Oct-16,98.02,99.38,97.70,98.98,650052
18-Oct-16,97.57,98.27,97.26,97.64,662706
17-Oct-16,97.58,97.88,96.88,97.19,732015
14-Oct-16,100.00,100.88,97.50,97.52,1157066
13-Oct-16,101.05,101.17,98.04,99.69,903022
12-Oct-16,102.33,102.68,101.42,101.71,553796
11-Oct-16,103.83,104.97,102.11,102.33,531822
10-Oct-16,103.54,104.79,103.21,103.63,438632
7-Oct-16,103.56,104.60,102.63,103.01,1065760
