Date,Open,High,Low,Close,Volume,TickerSymbol,Industry
30-Dec-16,51.10,51.33,50.70,50.83,7384258,NKE,Retail
29-Dec-16,51.00,51.24,50.88,51.06,4680840,NKE,Retail
28-Dec-16,51.31,51.50,50.87,51.02,6318040,NKE,Retail
27-Dec-16,51.80,52.25,51.20,51.29,8175000,NKE,Retail
23-Dec-16,51.99,52.35,51.67,51.91,9360816,NKE,Retail
22-Dec-16,52.80,53.00,52.03,52.14,11798871,NKE,Retail
21-Dec-16,52.90,53.35,51.55,52.30,23236380,NKE,Retail
20-Dec-16,51.06,51.99,50.75,51.79,15984083,NKE,Retail
19-Dec-16,50.91,51.36,50.48,50.85,9451738,NKE,Retail
16-Dec-16,51.60,51.64,50.67,50.92,13984850,NKE,Retail
15-Dec-16,52.00,52.04,51.09,51.29,9567532,NKE,Retail
14-Dec-16,52.24,52.34,51.59,51.79,8012783,NKE,Retail
13-Dec-16,51.83,53.22,51.83,52.30,11442327,NKE,Retail
12-Dec-16,51.50,51.90,50.94,51.54,11459541,NKE,Retail
9-Dec-16,51.76,51.97,51.50,51.72,5869828,NKE,Retail
8-Dec-16,52.15,52.47,51.45,51.55,9260850,NKE,Retail
7-Dec-16,50.79,52.25,50.60,52.10,10412638,NKE,Retail
6-Dec-16,50.83,51.10,50.26,50.57,12496332,NKE,Retail
5-Dec-16,50.80,52.27,50.70,51.85,12031170,NKE,Retail
2-Dec-16,50.26,50.68,50.10,50.46,6933279,NKE,Retail
1-Dec-16,50.11,51.25,50.06,50.65,7610063,NKE,Retail
30-Nov-16,50.52,50.81,50.07,50.07,8198418,NKE,Retail
29-Nov-16,51.20,51.37,50.57,50.63,6065682,NKE,Retail
28-Nov-16,51.44,51.44,50.61,51.01,8602118,NKE,Retail
25-Nov-16,51.68,51.74,51.35,51.52,2736767,NKE,Retail
23-Nov-16,51.71,51.85,51.20,51.34,4148968,NKE,Retail
22-Nov-16,51.47,51.75,51.05,51.71,5228142,NKE,Retail
