Date,Open,High,Low,Close,Volume,TickerSymbol,Industry
30-Dec-16,272.43,272.43,268.05,268.74,586978,SHW,Chemicals
29-Dec-16,270.00,271.76,268.71,271.13,364676,SHW,Chemicals
28-Dec-16,273.28,273.49,270.20,270.30,473282,SHW,Chemicals
27-Dec-16,272.13,273.18,270.57,272.38,388700,SHW,Chemicals
23-Dec-16,270.72,272.46,268.30,272.30,476711,SHW,Chemicals
22-Dec-16,272.41,272.74,269.12,270.21,417661,SHW,Chemicals
21-Dec-16,266.94,271.63,265.52,271.21,778887,SHW,Chemicals
20-Dec-16,267.97,268.41,265.14,266.19,806231,SHW,Chemicals
19-Dec-16,271.82,272.27,266.58,268.88,895395,SHW,Chemicals
16-Dec-16,267.32,272.86,267.04,271.76,1294892,SHW,Chemicals
15-Dec-16,266.54,269.18,266.48,267.72,952679,SHW,Chemicals
14-Dec-16,269.66,270.24,265.57,266.49,938469,SHW,Chemicals
13-Dec-16,272.43,272.59,269.27,269.59,769501,SHW,Chemicals
12-Dec-16,271.29,271.29,266.56,270.76,857027,SHW,Chemicals
9-Dec-16,271.09,273.42,270.43,270.92,701471,SHW,Chemicals
8-Dec-16,268.68,272.00,267.61,271.36,825041,SHW,Chemicals
7-Dec-16,265.82,269.78,263.89,269.78,789520,SHW,Chemicals
6-Dec-16,267.04,268.47,265.23,266.46,622239,SHW,Chemicals
5-Dec-16,264.68,266.53,263.06,266.40,846913,SHW,Chemicals
2-Dec-16,265.87,265.88,261.65,265.06,1066160,SHW,Chemicals
1-Dec-16,268.16,269.46,264.00,265.88,1260563,SHW,Chemicals
30-Nov-16,276.64,277.01,268.46,268.67,1184932,SHW,Chemicals
29-Nov-16,274.34,277.49,272.56,276.32,838146,SHW,Chemicals
28-Nov-16,273.70,275.16,272.94,274.02,1026084,SHW,Chemicals
25-Nov-16,272.06,275.00,271.77,274.97,377205,SHW,Chemicals
23-Nov-16,268.21,273.01,268.21,272.41,794598,SHW,Chemicals
22-Nov-16,265.99,269.95,265.69,268.78,1107990,SHW,Chemicals
21-Nov-16,260.24,266.30,260.05,266.14,874193,SHW,Chemicals
18-Nov-16,262.71,264.33,260.00,260.29,809933,SHW,Chemicals
17-Nov-16,263.26,264.56,262.07,262.71,847282,SHW,Chemicals
16-Nov-16,264.29,264.78,261.76,261.98,750947,SHW,Chemicals
15-Nov-16,264.62,266.63,262.65,265.73,1053292,SHW,Chemicals
14-Nov-16,262.44,263.63,261.24,263.38,1286527,SHW,Chemicals
11-Nov-16,263.91,265.35,260.56,261.76,988451,SHW,Chemicals
10-Nov-16,258.21,269.08,258.17,265.01,2067690,SHW,Chemicals
9-Nov-16,249.70,258.10,248.10,257.74,1357194,SHW,Chemicals
8-Nov-16,248.80,253.09,248.51,252.19,1268601,SHW,Chemicals
7-Nov-16,246.47,248.68,245.09,247.97,1005966,SHW,Chemicals
4-Nov-16,242.78,245.47,242.50,242.54,815938,SHW,Chemicals
3-Nov-16,243.95,245.05,241.28,241.52,678562,SHW,Chemicals
2-Nov-16,240.95,243.72,240.40,242.48,931284,SHW,Chemicals
1-Nov-16,245.85,245.85,239.48,240.63,1341992,SHW,Chemicals
31-Oct-16,246.28,247.41,243.76,244.86,964504,SHW,Chemicals
28-Oct-16,247.11,248.71,241.74,244.73,1713248,SHW,Chemicals
27-Oct-16,249.29,250.04,246.13,247.60,1173887,SHW,Chemicals
26-Oct-16,247.54,251.92,247.00,249.23,1614189,SHW,Chemicals
25-Oct-16,255.55,258.00,246.68,247.61,6005407,SHW,Chemicals
24-Oct-16,278.53,279.07,276.22,277.88,923158,SHW,Chemicals
21-Oct-16,273.64,277.63,272.98,277.14,736093,SHW,Chemicals
20-Oct-16,272.56,277.22,272.26,275.83,957486,SHW,Chemicals
19-Oct-16,270.76,272.15,269.02,271.50,628785,SHW,Chemicals
18-Oct-16,271.31,271.54,268.70,270.85,419245,SHW,Chemicals
17-Oct-16,268.48,270.43,268.32,269.59,507967,SHW,Chemicals
14-Oct-16,271.10,271.23,268.38,268.40,534687,SHW,Chemicals
13-Oct-16,267.18,270.52,266.07,269.46,617419,SHW,Chemicals
12-Oct-16,267.48,269.68,266.49,269.03,521365,SHW,Chemicals
11-Oct-16,269.64,270.04,265.60,267.41,1250634,SHW,Chemicals
10-Oct-16,271.53,274.97,270.00,270.74,744639,SHW,Chemicals
7-Oct-16,271.18,271.18,261.39,268.74,2340734,SHW,Chemicals
6-Oct-16,271.70,274.71,270.51,274.07,831410,SHW,Chemicals
5-Oct-16,271.86,273.02,270.62,272.09,746008,SHW,Chemicals
4-Oct-16,276.04,276.72,271.00,271.00,929434,SHW,Chemicals
3-Oct-16,275.92,276.39,274.93,275.84,609536,SHW,Chemicals
30-Sep-16,278.73,279.70,274.89,276.66,724765,SHW,Chemicals
29-Sep-16,281.77,282.50,276.26,277.30,733263,SHW,Chemicals
28-Sep-16,283.82,283.82,280.63,281.92,658686,SHW,Chemicals
27-Sep-16,279.84,282.76,278.50,282.38,430213,SHW,Chemicals
26-Sep-16,282.14,282.94,280.16,280.31,541005,SHW,Chemicals
23-Sep-16,280.14,283.93,279.80,283.00,762793,SHW,Chemicals
22-Sep-16,279.35,280.70,278.22,279.62,548940,SHW,Chemicals
21-Sep-16,275.01,278.48,273.15,278.38,581761,SHW,Chemicals
20-Sep-16,275.00,277.10,274.51,275.17,794396,SHW,Chemicals
19-Sep-16,272.50,275.42,271.80,273.53,859604,SHW,Chemicals
16-Sep-16,276.19,276.62,271.69,273.98,962825,SHW,Chemicals
15-Sep-16,276.24,278.00,275.00,276.74,696217,SHW,Chemicals
14-Sep-16,274.84,277.16,274.43,275.61,698305,SHW,Chemicals
13-Sep-16,278.76,279.45,273.64,273.75,1010089,SHW,Chemicals
12-Sep-16,273.39,280.05,273.28,279.35,988497,SHW,Chemicals
9-Sep-16,281.05,281.54,274.39,274.39,1148738,SHW,Chemicals
8-Sep-16,285.19,286.09,282.92,283.35,602280,SHW,Chemicals
7-Sep-16,284.59,287.10,282.94,286.49,678920,SHW,Chemicals
6-Sep-16,287.38,287.38,284.09,285.13,370440,SHW,Chemicals
2-Sep-16,285.55,287.36,284.63,286.43,424998,SHW,Chemicals
1-Sep-16,283.37,286.27,282.70,285.27,1019099,SHW,Chemicals
31-Aug-16,287.01,287.21,283.42,283.71,502689,SHW,Chemicals
30-Aug-16,286.15,288.61,285.87,286.71,645056,SHW,Chemicals
29-Aug-16,285.89,287.98,284.88,286.68,821495,SHW,Chemicals
26-Aug-16,286.70,289.15,284.91,285.82,539444,SHW,Chemicals
25-Aug-16,286.16,287.67,285.80,286.51,639334,SHW,Chemicals
24-Aug-16,289.79,290.52,286.25,286.81,477613,SHW,Chemicals
23-Aug-16,289.54,292.97,287.90,291.13,721890,SHW,Chemicals
22-Aug-16,287.06,290.22,286.58,287.89,1144068,SHW,Chemicals
19-Aug-16,287.66,288.10,285.31,287.77,944743,SHW,Chemicals
18-Aug-16,287.54,289.82,287.48,288.58,455348,SHW,Chemicals
17-Aug-16,290.23,290.55,286.82,287.65,1105876,SHW,Chemicals
16-Aug-16,296.50,297.65,291.40,291.53,582399,SHW,Chemicals
15-Aug-16,297.22,297.80,295.84,296.33,339823,SHW,Chemicals
12-Aug-16,295.30,296.09,293.72,295.81,419805,SHW,Chemicals
11-Aug-16,298.12,298.63,295.76,296.74,532034,SHW,Chemicals
10-Aug-16,296.21,296.71,295.13,296.46,403868,SHW,Chemicals
9-Aug-16,297.97,298.86,295.29,295.29,678269,SHW,Chemicals
8-Aug-16,300.83,301.54,296.63,297.57,604232,SHW,Chemicals
5-Aug-16,300.87,301.32,298.49,300.38,472959,SHW,Chemicals
4-Aug-16,302.22,302.68,299.28,300.03,396133,SHW,Chemicals
3-Aug-16,302.68,302.89,299.21,301.51,525728,SHW,Chemicals
2-Aug-16,298.04,301.93,297.27,301.73,736032,SHW,Chemicals
1-Aug-16,296.00,299.84,296.00,297.36,512356,SHW,Chemicals
29-Jul-16,298.05,299.73,297.04,299.73,824150,SHW,Chemicals
28-Jul-16,292.30,298.25,290.86,297.89,611460,SHW,Chemicals
27-Jul-16,293.54,294.38,290.59,292.30,686806,SHW,Chemicals
26-Jul-16,295.54,295.99,291.29,292.90,606317,SHW,Chemicals
25-Jul-16,294.48,295.32,293.29,295.19,684659,SHW,Chemicals
22-Jul-16,291.54,295.38,291.54,293.58,1168173,SHW,Chemicals
21-Jul-16,298.40,300.00,285.25,290.63,3465784,SHW,Chemicals
20-Jul-16,310.00,312.48,308.55,312.10,954875,SHW,Chemicals
19-Jul-16,308.02,309.16,306.30,309.00,485168,SHW,Chemicals
18-Jul-16,304.73,307.84,304.15,307.25,408597,SHW,Chemicals
15-Jul-16,305.96,308.72,305.11,305.90,512879,SHW,Chemicals
14-Jul-16,308.55,308.55,305.31,306.25,452971,SHW,Chemicals
13-Jul-16,305.94,308.42,305.84,306.89,338441,SHW,Chemicals
12-Jul-16,308.21,309.65,305.63,305.68,582616,SHW,Chemicals
11-Jul-16,304.92,309.19,303.00,307.19,541865,SHW,Chemicals
8-Jul-16,304.18,307.96,303.70,306.52,625202,SHW,Chemicals
7-Jul-16,299.52,303.23,299.52,302.10,737393,SHW,Chemicals
6-Jul-16,292.81,300.48,292.22,299.79,1006739,SHW,Chemicals
5-Jul-16,292.40,295.38,291.59,294.66,528270,SHW,Chemicals
1-Jul-16,294.22,295.17,292.45,293.80,440800,SHW,Chemicals
30-Jun-16,291.45,294.18,288.97,293.67,625833,SHW,Chemicals
29-Jun-16,292.33,292.97,287.91,290.41,631504,SHW,Chemicals
28-Jun-16,282.69,290.73,282.64,290.06,1009595,SHW,Chemicals
27-Jun-16,281.51,283.62,278.74,280.32,937773,SHW,Chemicals
24-Jun-16,282.22,287.49,281.59,283.75,1679101,SHW,Chemicals
23-Jun-16,292.74,293.25,288.86,288.93,1007116,SHW,Chemicals
22-Jun-16,287.50,290.27,287.49,289.92,546015,SHW,Chemicals
21-Jun-16,290.62,290.97,287.25,287.50,469208,SHW,Chemicals
20-Jun-16,291.21,293.00,289.31,289.56,541926,SHW,Chemicals
17-Jun-16,289.93,290.66,286.70,288.31,745414,SHW,Chemicals
16-Jun-16,290.38,290.90,287.39,290.54,512932,SHW,Chemicals
15-Jun-16,293.30,293.98,290.73,290.92,785681,SHW,Chemicals
14-Jun-16,290.37,292.28,289.07,292.15,696177,SHW,Chemicals
13-Jun-16,291.69,292.98,289.85,291.45,634685,SHW,Chemicals
10-Jun-16,291.69,294.08,290.27,292.05,565079,SHW,Chemicals
