Date,Open,High,Low,Close,Volume,TickerSymbol,Industry
16-Sep-16,25.06,25.07,25.06,25.06,15387570,STR,Gas/Oil
15-Sep-16,25.06,25.08,25.05,25.06,946713,STR,Gas/Oil
14-Sep-16,25.04,25.05,25.02,25.05,543657,STR,Gas/Oil
13-Sep-16,25.08,25.08,25.00,25.03,723357,STR,Gas/Oil
12-Sep-16,25.02,25.09,25.02,25.09,785904,STR,Gas/Oil
9-Sep-16,25.01,25.04,25.01,25.03,957352,STR,Gas/Oil
8-Sep-16,25.06,25.06,25.01,25.02,749507,STR,Gas/Oil
7-Sep-16,25.06,25.06,25.02,25.06,378282,STR,Gas/Oil
6-Sep-16,25.07,25.07,25.02,25.04,351869,STR,Gas/Oil
2-Sep-16,25.08,25.12,25.03,25.07,571374,STR,Gas/Oil
1-Sep-16,25.01,25.07,25.00,25.06,609463,STR,Gas/Oil
31-Aug-16,25.00,25.04,24.97,25.01,791898,STR,Gas/Oil
30-Aug-16,25.03,25.05,25.00,25.04,487978,STR,Gas/Oil
29-Aug-16,24.99,25.04,24.99,25.03,1497903,STR,Gas/Oil
26-Aug-16,25.06,25.06,24.98,24.99,621017,STR,Gas/Oil
25-Aug-16,24.99,25.02,24.98,24.99,627243,STR,Gas/Oil
24-Aug-16,24.98,25.02,24.97,24.98,933801,STR,Gas/Oil
23-Aug-16,25.01,25.03,24.99,24.99,451737,STR,Gas/Oil
22-Aug-16,25.00,25.09,24.95,24.96,760337,STR,Gas/Oil
19-Aug-16,25.00,25.08,24.93,25.07,732164,STR,Gas/Oil
18-Aug-16,25.06,25.06,24.98,25.02,487404,STR,Gas/Oil
17-Aug-16,25.02,25.10,24.97,25.02,673948,STR,Gas/Oil
16-Aug-16,25.18,25.22,25.15,25.21,470483,STR,Gas/Oil
15-Aug-16,25.22,25.24,25.17,25.21,840227,STR,Gas/Oil
12-Aug-16,25.18,25.23,25.16,25.20,226950,STR,Gas/Oil
11-Aug-16,25.27,25.28,25.16,25.17,329036,STR,Gas/Oil
10-Aug-16,25.24,25.30,25.21,25.28,837204,STR,Gas/Oil
9-Aug-16,25.19,25.25,25.18,25.25,394229,STR,Gas/Oil
8-Aug-16,25.21,25.24,25.19,25.21,616174,STR,Gas/Oil
5-Aug-16,25.18,25.25,25.17,25.24,564491,STR,Gas/Oil
4-Aug-16,25.21,25.23,25.15,25.20,409596,STR,Gas/Oil
3-Aug-16,25.22,25.25,25.18,25.19,932223,STR,Gas/Oil
2-Aug-16,25.14,25.24,25.14,25.24,580108,STR,Gas/Oil
1-Aug-16,25.16,25.20,25.13,25.14,629794,STR,Gas/Oil
29-Jul-16,25.15,25.23,25.13,25.17,1587345,STR,Gas/Oil
28-Jul-16,25.10,25.19,25.10,25.15,479202,STR,Gas/Oil
27-Jul-16,25.14,25.16,25.08,25.10,642319,STR,Gas/Oil
26-Jul-16,25.16,25.18,25.11,25.13,385816,STR,Gas/Oil
25-Jul-16,25.18,25.20,25.13,25.17,571578,STR,Gas/Oil
22-Jul-16,25.19,25.22,25.13,25.17,487518,STR,Gas/Oil
21-Jul-16,25.18,25.20,25.15,25.19,356290,STR,Gas/Oil
20-Jul-16,25.19,25.20,25.14,25.20,334831,STR,Gas/Oil
19-Jul-16,25.16,25.20,25.13,25.19,457390,STR,Gas/Oil
18-Jul-16,25.18,25.20,25.14,25.17,387584,STR,Gas/Oil
15-Jul-16,25.13,25.20,25.12,25.18,684222,STR,Gas/Oil
14-Jul-16,25.11,25.16,25.06,25.09,544928,STR,Gas/Oil
13-Jul-16,25.19,25.19,25.10,25.10,475768,STR,Gas/Oil
12-Jul-16,25.19,25.23,25.10,25.14,1193915,STR,Gas/Oil
11-Jul-16,25.20,25.23,25.12,25.19,730477,STR,Gas/Oil
8-Jul-16,25.04,25.23,25.03,25.23,1067429,STR,Gas/Oil
7-Jul-16,25.15,25.16,24.96,25.03,1424024,STR,Gas/Oil
6-Jul-16,25.19,25.23,25.12,25.20,4074969,STR,Gas/Oil
5-Jul-16,25.16,25.21,25.13,25.21,1300048,STR,Gas/Oil
1-Jul-16,25.32,25.32,25.16,25.19,1072560,STR,Gas/Oil
30-Jun-16,25.22,25.38,25.20,25.37,1278196,STR,Gas/Oil
