Date,Open,High,Low,Close,Volume
30-Dec-16,104.57,105.00,103.96,104.22,6983340
29-Dec-16,104.23,104.77,103.87,104.56,5896763
28-Dec-16,104.99,105.32,104.06,104.30,5178645
27-Dec-16,104.85,105.56,104.78,105.17,3639546
23-Dec-16,105.24,105.34,104.75,105.15,3238753
22-Dec-16,104.96,105.49,104.70,105.42,5230849
21-Dec-16,104.61,105.91,104.51,105.56,5202436
20-Dec-16,105.64,106.20,105.06,105.46,8947285
19-Dec-16,105.70,106.26,105.06,105.30,11475633
16-Dec-16,104.71,104.72,103.75,103.91,12635516
15-Dec-16,103.85,105.64,103.82,104.39,8745434
14-Dec-16,103.62,104.41,103.50,104.05,7961888
13-Dec-16,104.20,104.31,103.71,103.85,7393171
12-Dec-16,104.61,104.70,103.73,104.06,7880201
9-Dec-16,103.49,105.52,103.18,104.86,12173909
8-Dec-16,101.47,103.96,101.47,103.38,16524763
7-Dec-16,100.51,102.07,100.44,101.99,12255742
6-Dec-16,99.95,100.72,99.82,100.66,8427531
5-Dec-16,98.98,100.27,98.68,99.96,11331542
2-Dec-16,98.79,99.08,98.25,98.50,7737193
1-Dec-16,99.13,99.75,98.62,98.94,9958086
30-Nov-16,99.40,100.29,99.00,99.12,11369177
29-Nov-16,99.23,99.68,98.97,99.67,8396803
28-Nov-16,98.52,99.20,98.32,98.97,7106669
25-Nov-16,98.71,99.07,98.50,98.82,4396763
23-Nov-16,97.67,98.28,97.59,98.26,6166487
22-Nov-16,97.50,97.93,97.27,97.71,5323683
21-Nov-16,98.11,98.27,97.00,97.63,10771076
18-Nov-16,99.05,99.37,98.14,98.24,8586121
17-Nov-16,99.05,99.50,98.26,99.37,8651917
16-Nov-16,98.33,99.17,98.10,99.12,9702404
15-Nov-16,97.90,98.14,97.42,97.70,7184595
14-Nov-16,97.56,98.31,97.45,97.92,13208417
11-Nov-16,97.18,98.32,95.78,97.68,23008062
10-Nov-16,94.89,96.06,94.23,94.96,13777923
9-Nov-16,92.29,94.92,92.11,94.64,8635729
8-Nov-16,94.53,94.85,93.90,94.38,6226852
7-Nov-16,93.77,94.48,92.95,94.43,6996093
4-Nov-16,93.50,93.79,92.36,92.45,7456486
3-Nov-16,92.26,94.13,92.24,93.37,7751400
2-Nov-16,91.91,92.56,91.69,91.91,6716247
1-Nov-16,92.78,92.99,91.66,92.39,6449806
31-Oct-16,93.72,93.82,92.31,92.69,9957559
28-Oct-16,93.89,94.40,93.53,93.85,7309117
27-Oct-16,93.80,94.34,93.31,94.02,6646969
26-Oct-16,92.39,93.72,91.90,93.49,7152845
25-Oct-16,93.14,93.36,92.64,92.75,6380747
24-Oct-16,93.49,94.15,92.80,93.37,7280985
21-Oct-16,91.33,94.19,90.60,93.03,13814538
20-Oct-16,91.66,92.32,91.44,92.03,6153205
19-Oct-16,91.27,92.14,91.00,91.93,6140496
18-Oct-16,91.40,91.74,90.98,91.17,4890775
17-Oct-16,91.35,91.47,90.56,90.83,5134605
14-Oct-16,91.77,91.77,91.29,91.30,4345659
13-Oct-16,90.95,91.36,90.32,91.12,5725154
12-Oct-16,91.88,92.08,91.39,91.41,6836644
11-Oct-16,92.33,92.38,91.57,91.86,6651134
10-Oct-16,92.70,93.21,92.40,92.49,4241028
7-Oct-16,93.06,93.29,92.02,92.49,6144089
6-Oct-16,92.75,93.58,92.39,92.83,7484807
5-Oct-16,92.94,93.28,92.38,92.45,5365007
4-Oct-16,92.45,92.99,92.11,92.59,5903392
3-Oct-16,92.47,92.72,92.05,92.49,5834717
30-Sep-16,92.28,93.49,92.21,92.86,8923683
29-Sep-16,92.14,93.10,91.53,91.80,7476594
28-Sep-16,91.75,92.30,91.48,92.20,8272345
27-Sep-16,91.93,92.18,91.50,91.72,9167391
26-Sep-16,92.47,92.68,91.40,91.96,10449325
23-Sep-16,93.07,93.52,93.00,93.27,4407725
22-Sep-16,92.73,93.71,92.64,93.41,6470732
21-Sep-16,93.00,93.08,91.70,92.39,12049468
20-Sep-16,92.70,93.30,92.68,92.95,6200107
19-Sep-16,92.80,93.32,92.34,92.63,5421473
16-Sep-16,92.27,92.74,91.80,92.56,10568647
15-Sep-16,92.12,92.75,91.19,92.50,7568163
14-Sep-16,92.59,92.89,92.07,92.26,6386478
13-Sep-16,93.04,93.30,92.45,92.70,7795172
12-Sep-16,91.96,93.86,91.95,93.64,9367303
9-Sep-16,93.51,93.74,92.39,92.42,10248373
8-Sep-16,93.49,94.21,92.92,94.09,7438081
7-Sep-16,93.98,94.03,93.33,93.71,6281494
6-Sep-16,94.53,94.53,93.35,93.80,8463523
2-Sep-16,94.75,94.96,94.13,94.42,5382016
1-Sep-16,94.73,94.87,93.91,94.26,6274204
31-Aug-16,94.69,94.90,94.16,94.46,7375228
30-Aug-16,94.77,95.29,94.77,94.86,6845046
29-Aug-16,95.07,95.32,94.46,94.87,7902989
26-Aug-16,95.66,96.13,94.75,95.21,6019553
25-Aug-16,95.62,95.82,95.41,95.55,4518655
24-Aug-16,96.01,96.22,95.51,95.82,5912529
23-Aug-16,96.13,96.42,95.80,95.97,4996251
22-Aug-16,96.47,96.47,95.65,95.87,5495336
19-Aug-16,96.40,96.79,96.05,96.39,6362404
18-Aug-16,96.87,97.12,96.55,96.65,5250741
17-Aug-16,96.84,96.97,96.52,96.87,5697252
16-Aug-16,96.86,97.25,96.27,96.88,5777756
15-Aug-16,97.35,97.61,96.92,97.10,5299588
12-Aug-16,97.82,97.82,96.66,96.84,9360332
11-Aug-16,98.20,98.39,97.15,97.77,9233890
10-Aug-16,96.70,99.27,95.85,97.86,27181275
9-Aug-16,95.61,96.85,95.30,96.67,15548695
