Date,Open,High,Low,Close,Volume
16-Sep-16,25.06,25.07,25.06,25.06,15387570
15-Sep-16,25.06,25.08,25.05,25.06,946713
14-Sep-16,25.04,25.05,25.02,25.05,543657
13-Sep-16,25.08,25.08,25.00,25.03,723357
12-Sep-16,25.02,25.09,25.02,25.09,785904
9-Sep-16,25.01,25.04,25.01,25.03,957352
8-Sep-16,25.06,25.06,25.01,25.02,749507
7-Sep-16,25.06,25.06,25.02,25.06,378282
6-Sep-16,25.07,25.07,25.02,25.04,351869
2-Sep-16,25.08,25.12,25.03,25.07,571374
1-Sep-16,25.01,25.07,25.00,25.06,609463
31-Aug-16,25.00,25.04,24.97,25.01,791898
30-Aug-16,25.03,25.05,25.00,25.04,487978
29-Aug-16,24.99,25.04,24.99,25.03,1497903
26-Aug-16,25.06,25.06,24.98,24.99,621017
25-Aug-16,24.99,25.02,24.98,24.99,627243
24-Aug-16,24.98,25.02,24.97,24.98,933801
23-Aug-16,25.01,25.03,24.99,24.99,451737
22-Aug-16,25.00,25.09,24.95,24.96,760337
19-Aug-16,25.00,25.08,24.93,25.07,732164
18-Aug-16,25.06,25.06,24.98,25.02,487404
17-Aug-16,25.02,25.10,24.97,25.02,673948
16-Aug-16,25.18,25.22,25.15,25.21,470483
15-Aug-16,25.22,25.24,25.17,25.21,840227
12-Aug-16,25.18,25.23,25.16,25.20,226950
11-Aug-16,25.27,25.28,25.16,25.17,329036
10-Aug-16,25.24,25.30,25.21,25.28,837204
9-Aug-16,25.19,25.25,25.18,25.25,394229
8-Aug-16,25.21,25.24,25.19,25.21,616174
5-Aug-16,25.18,25.25,25.17,25.24,564491
4-Aug-16,25.21,25.23,25.15,25.20,409596
3-Aug-16,25.22,25.25,25.18,25.19,932223
2-Aug-16,25.14,25.24,25.14,25.24,580108
1-Aug-16,25.16,25.20,25.13,25.14,629794
29-Jul-16,25.15,25.23,25.13,25.17,1587345
28-Jul-16,25.10,25.19,25.10,25.15,479202
27-Jul-16,25.14,25.16,25.08,25.10,642319
26-Jul-16,25.16,25.18,25.11,25.13,385816
25-Jul-16,25.18,25.20,25.13,25.17,571578
22-Jul-16,25.19,25.22,25.13,25.17,487518
21-Jul-16,25.18,25.20,25.15,25.19,356290
20-Jul-16,25.19,25.20,25.14,25.20,334831
19-Jul-16,25.16,25.20,25.13,25.19,457390
18-Jul-16,25.18,25.20,25.14,25.17,387584
15-Jul-16,25.13,25.20,25.12,25.18,684222
14-Jul-16,25.11,25.16,25.06,25.09,544928
13-Jul-16,25.19,25.19,25.10,25.10,475768
12-Jul-16,25.19,25.23,25.10,25.14,1193915
11-Jul-16,25.20,25.23,25.12,25.19,730477
8-Jul-16,25.04,25.23,25.03,25.23,1067429
7-Jul-16,25.15,25.16,24.96,25.03,1424024
6-Jul-16,25.19,25.23,25.12,25.20,4074969
5-Jul-16,25.16,25.21,25.13,25.21,1300048
1-Jul-16,25.32,25.32,25.16,25.19,1072560
30-Jun-16,25.22,25.38,25.20,25.37,1278196
29-Jun-16,25.21,25.28,25.18,25.20,541813
28-Jun-16,25.16,25.22,25.12,25.22,970488
27-Jun-16,25.08,25.23,25.05,25.21,1170044
24-Jun-16,24.92,25.13,24.91,25.12,1184556
23-Jun-16,25.04,25.08,25.00,25.03,670269
22-Jun-16,25.04,25.12,25.01,25.03,583752
21-Jun-16,25.02,25.06,24.96,25.03,868813
20-Jun-16,25.01,25.05,24.99,25.00,1167380
17-Jun-16,25.01,25.03,24.96,25.00,2626247
16-Jun-16,25.04,25.10,25.00,25.02,608734
15-Jun-16,25.13,25.13,25.04,25.04,564393
14-Jun-16,25.00,25.14,24.98,25.14,867343
13-Jun-16,25.01,25.04,24.97,24.99,1423440
10-Jun-16,25.03,25.06,25.00,25.04,730544
9-Jun-16,25.02,25.06,25.00,25.04,1012679
8-Jun-16,25.02,25.09,25.00,25.03,1142739
7-Jun-16,25.02,25.05,24.99,25.05,428514
6-Jun-16,24.97,25.04,24.97,25.02,877712
3-Jun-16,25.00,25.15,24.95,24.97,789635
2-Jun-16,25.00,25.03,24.94,25.00,1268514
