Date,Open,High,Low,Close,Volume
30-Dec-16,54.89,55.36,54.79,55.11,15095516
29-Dec-16,55.19,55.46,54.48,54.84,15933472
28-Dec-16,55.98,56.08,55.27,55.32,10609110
27-Dec-16,55.90,56.10,55.84,55.95,8893940
23-Dec-16,55.78,55.98,55.62,55.96,8312986
22-Dec-16,55.76,56.03,55.50,55.75,14515521
21-Dec-16,56.09,56.09,55.64,55.71,14058380
20-Dec-16,55.47,56.32,55.15,56.10,19245332
19-Dec-16,55.18,55.47,54.65,55.22,16801429
16-Dec-16,55.49,55.65,54.92,55.34,33171784
15-Dec-16,55.17,56.25,54.90,55.19,31345878
14-Dec-16,54.74,55.62,54.03,54.70,54590640
13-Dec-16,55.85,56.21,55.29,55.84,24355561
12-Dec-16,56.50,57.10,55.55,55.78,27886167
9-Dec-16,56.91,57.24,56.49,57.14,20331186
8-Dec-16,57.29,58.02,56.71,57.29,39828604
7-Dec-16,55.55,57.29,55.23,57.28,46616968
6-Dec-16,54.45,55.57,54.22,55.55,30706669
5-Dec-16,53.90,54.53,53.87,54.35,24793902
2-Dec-16,54.24,54.27,53.31,53.58,21894686
1-Dec-16,53.13,54.47,53.06,54.34,35623052
30-Nov-16,52.48,53.16,52.30,52.92,26567203
29-Nov-16,51.56,52.13,51.56,51.86,16267266
28-Nov-16,52.12,52.48,51.39,51.58,26518494
25-Nov-16,52.40,52.62,52.04,52.62,9635745
23-Nov-16,52.44,52.63,51.95,52.16,20022318
22-Nov-16,52.43,52.58,51.81,52.22,22816942
21-Nov-16,52.85,52.98,52.02,52.12,23587173
18-Nov-16,52.45,52.98,51.99,52.82,29673414
17-Nov-16,51.39,52.90,50.96,52.49,29133825
16-Nov-16,51.79,52.17,51.36,51.68,26996205
15-Nov-16,52.38,52.59,51.54,52.59,39437914
14-Nov-16,51.91,54.06,51.91,53.22,59154429
11-Nov-16,51.09,51.99,50.73,51.73,46594895
10-Nov-16,48.93,51.93,48.79,51.63,100988797
9-Nov-16,46.33,48.61,46.00,47.99,67615042
8-Nov-16,45.18,45.82,44.87,45.54,19462621
7-Nov-16,45.22,45.69,45.21,45.40,25769393
4-Nov-16,45.36,45.42,44.49,44.60,27391609
3-Nov-16,45.33,45.79,45.25,45.34,14982746
2-Nov-16,45.38,45.51,45.07,45.24,19566574
1-Nov-16,46.12,46.28,45.60,45.99,20020196
