Date,Open,High,Low,Close,Volume,TickerSymbol
30-Dec-16,116.65,117.20,115.43,115.82,30586265,AAPL
29-Dec-16,116.45,117.11,116.40,116.73,15039519,AAPL
28-Dec-16,117.52,118.02,116.20,116.76,20905892,AAPL
27-Dec-16,116.52,117.80,116.49,117.26,18296855,AAPL
23-Dec-16,115.59,116.52,115.59,116.52,14249484,AAPL
22-Dec-16,116.35,116.51,115.64,116.29,26085854,AAPL
21-Dec-16,116.80,117.40,116.78,117.06,23783165,AAPL
20-Dec-16,116.74,117.50,116.68,116.95,21424965,AAPL
19-Dec-16,115.80,117.38,115.75,116.64,27779423,AAPL
16-Dec-16,116.47,116.50,115.64,115.97,44351134,AAPL
15-Dec-16,115.38,116.73,115.23,115.82,46524544,AAPL
14-Dec-16,115.04,116.20,114.98,115.19,34031834,AAPL
13-Dec-16,113.84,115.92,113.75,115.19,43733811,AAPL
12-Dec-16,113.29,115.00,112.49,113.30,26374377,AAPL
9-Dec-16,112.31,114.70,112.31,113.95,34402627,AAPL
8-Dec-16,110.86,112.43,110.60,112.12,27068316,AAPL
7-Dec-16,109.26,111.19,109.16,111.03,29998719,AAPL
6-Dec-16,109.50,110.36,109.19,109.95,26195462,AAPL
5-Dec-16,110.00,110.03,108.25,109.11,34324540,AAPL
2-Dec-16,109.17,110.09,108.85,109.90,26527997,AAPL
1-Dec-16,110.36,110.94,109.03,109.49,37086862,AAPL
30-Nov-16,111.60,112.20,110.27,110.52,36162258,AAPL
29-Nov-16,110.78,112.03,110.07,111.46,28528750,AAPL
28-Nov-16,111.43,112.46,111.39,111.57,27193983,AAPL
25-Nov-16,111.47,111.87,110.95,111.79,11475922,AAPL
23-Nov-16,111.36,111.51,110.33,111.23,27426394,AAPL
22-Nov-16,111.95,112.42,111.40,111.80,25965534,AAPL
21-Nov-16,110.12,111.99,110.01,111.73,29264571,AAPL
18-Nov-16,109.72,110.54,109.66,110.06,28428917,AAPL
17-Nov-16,109.81,110.35,108.83,109.95,26964598,AAPL
16-Nov-16,106.70,110.23,106.60,109.99,58840522,AAPL
15-Nov-16,106.57,107.68,106.16,107.11,32264510,AAPL
14-Nov-16,107.71,107.81,104.08,105.71,51175504,AAPL
11-Nov-16,107.12,108.87,106.55,108.43,34143898,AAPL
10-Nov-16,111.09,111.09,105.83,107.79,57134541,AAPL
9-Nov-16,109.88,111.32,108.05,110.88,59176361,AAPL
8-Nov-16,110.31,111.72,109.70,111.06,24254179,AAPL
7-Nov-16,110.08,110.51,109.46,110.41,32560000,AAPL
4-Nov-16,108.53,110.25,108.11,108.84,30836997,AAPL
3-Nov-16,110.98,111.46,109.55,109.83,26932602,AAPL
2-Nov-16,111.40,112.35,111.23,111.59,28331709,AAPL
1-Nov-16,113.46,113.77,110.53,111.49,43825812,AAPL
31-Oct-16,113.65,114.23,113.20,113.54,26419398,AAPL
28-Oct-16,113.87,115.21,113.45,113.72,37861662,AAPL
27-Oct-16,115.39,115.86,114.10,114.48,34562045,AAPL
26-Oct-16,114.31,115.70,113.31,115.59,66134219,AAPL
25-Oct-16,117.95,118.36,117.31,118.25,48128970,AAPL
24-Oct-16,117.10,117.74,117.00,117.65,23538673,AAPL
21-Oct-16,116.81,116.91,116.28,116.60,23192665,AAPL
20-Oct-16,116.86,117.38,116.33,117.06,24125801,AAPL
19-Oct-16,117.25,117.76,113.80,117.12,20034594,AAPL
18-Oct-16,118.18,118.21,117.45,117.47,24553478,AAPL
17-Oct-16,117.33,117.84,116.78,117.55,23624896,AAPL
14-Oct-16,117.88,118.17,117.13,117.63,35652191,AAPL
13-Oct-16,116.79,117.44,115.72,116.98,35192406,AAPL
12-Oct-16,117.35,117.98,116.75,117.34,37586787,AAPL
11-Oct-16,117.70,118.69,116.20,116.30,64041043,AAPL
10-Oct-16,115.02,116.75,114.72,116.05,36235956,AAPL
7-Oct-16,114.31,114.56,113.51,114.06,24358443,AAPL
6-Oct-16,113.70,114.34,113.13,113.89,28779313,AAPL
5-Oct-16,113.40,113.66,112.69,113.05,21453089,AAPL
4-Oct-16,113.06,114.31,112.63,113.00,29736835,AAPL
3-Oct-16,112.71,113.05,112.28,112.52,21701760,AAPL
30-Sep-16,112.46,113.37,111.80,113.05,36379106,AAPL
29-Sep-16,113.16,113.80,111.80,112.18,35886990,AAPL
28-Sep-16,113.69,114.64,113.43,113.95,29641085,AAPL
27-Sep-16,113.00,113.18,112.34,113.09,24607412,AAPL
26-Sep-16,111.64,113.39,111.55,112.88,29869442,AAPL
23-Sep-16,114.42,114.79,111.55,112.71,52481151,AAPL
22-Sep-16,114.35,114.94,114.00,114.62,31073984,AAPL
21-Sep-16,113.85,113.99,112.44,113.55,36003185,AAPL
20-Sep-16,113.05,114.12,112.51,113.57,34514269,AAPL
19-Sep-16,115.19,116.18,113.25,113.58,47023046,AAPL
16-Sep-16,115.12,116.13,114.04,114.92,79886911,AAPL
15-Sep-16,113.86,115.73,113.49,115.57,90613177,AAPL
14-Sep-16,108.73,113.03,108.60,111.77,112340318,AAPL
13-Sep-16,107.51,108.79,107.24,107.95,62176190,AAPL
12-Sep-16,102.65,105.72,102.53,105.44,45292770,AAPL
9-Sep-16,104.64,105.72,103.13,103.13,46556984,AAPL
8-Sep-16,107.25,107.27,105.24,105.52,53002026,AAPL
7-Sep-16,107.83,108.76,107.07,108.36,42364328,AAPL
6-Sep-16,107.90,108.30,107.51,107.70,26880391,AAPL
2-Sep-16,107.70,108.00,106.82,107.73,26334858,AAPL
1-Sep-16,106.14,106.80,105.62,106.73,26701523,AAPL
31-Aug-16,105.66,106.57,105.64,106.10,29662406,AAPL
30-Aug-16,105.80,106.50,105.50,106.00,24863945,AAPL
29-Aug-16,106.62,107.44,106.29,106.82,24970300,AAPL
26-Aug-16,107.41,107.95,106.31,106.94,27766291,AAPL
25-Aug-16,107.39,107.88,106.68,107.57,25086248,AAPL
24-Aug-16,108.56,108.75,107.68,108.03,23675081,AAPL
23-Aug-16,108.59,109.32,108.53,108.85,21257669,AAPL
22-Aug-16,108.86,109.10,107.85,108.51,25820230,AAPL
19-Aug-16,108.77,109.69,108.36,109.36,25368072,AAPL
18-Aug-16,109.23,109.60,109.02,109.08,21984703,AAPL
17-Aug-16,109.10,109.37,108.34,109.22,25355976,AAPL
16-Aug-16,109.63,110.23,109.21,109.38,33794448,AAPL
15-Aug-16,108.14,109.54,108.08,109.48,25868209,AAPL
12-Aug-16,107.78,108.44,107.78,108.18,18660434,AAPL
11-Aug-16,108.52,108.93,107.85,107.93,27484506,AAPL
10-Aug-16,108.71,108.90,107.76,108.00,24008505,AAPL
9-Aug-16,108.23,108.94,108.01,108.81,26315204,AAPL
8-Aug-16,107.52,108.37,107.16,108.37,28037220,AAPL
5-Aug-16,106.27,107.65,106.18,107.48,40553402,AAPL
4-Aug-16,105.58,106.00,105.28,105.87,27408650,AAPL
3-Aug-16,104.81,105.84,104.77,105.79,30202641,AAPL
2-Aug-16,106.05,106.07,104.00,104.48,33816556,AAPL
1-Aug-16,104.41,106.15,104.41,106.05,38167871,AAPL
29-Jul-16,104.19,104.55,103.68,104.21,27733688,AAPL
28-Jul-16,102.83,104.45,102.82,104.34,39869839,AAPL
27-Jul-16,104.26,104.35,102.75,102.95,92344820,AAPL
26-Jul-16,96.82,97.97,96.42,96.67,56239822,AAPL
25-Jul-16,98.25,98.84,96.92,97.34,40382921,AAPL
22-Jul-16,99.26,99.30,98.31,98.66,28313669,AAPL
21-Jul-16,99.83,101.00,99.13,99.43,32702028,AAPL
20-Jul-16,100.00,100.46,99.74,99.96,26275968,AAPL
19-Jul-16,99.56,100.00,99.34,99.87,23779924,AAPL
18-Jul-16,98.70,100.13,98.60,99.83,36493867,AAPL
15-Jul-16,98.92,99.30,98.50,98.78,30136990,AAPL
14-Jul-16,97.39,98.99,97.32,98.79,38918997,AAPL
13-Jul-16,97.41,97.67,96.84,96.87,25892171,AAPL
12-Jul-16,97.17,97.70,97.12,97.42,24167463,AAPL
11-Jul-16,96.75,97.65,96.73,96.98,23794945,AAPL
8-Jul-16,96.49,96.89,96.05,96.68,28912103,AAPL
7-Jul-16,95.70,96.50,95.62,95.94,25139558,AAPL
6-Jul-16,94.60,95.66,94.37,95.53,30949090,AAPL
5-Jul-16,95.39,95.40,94.46,94.99,27705210,AAPL
1-Jul-16,95.49,96.46,95.33,95.89,26026540,AAPL
30-Jun-16,94.44,95.77,94.30,95.60,35836356,AAPL
29-Jun-16,93.97,94.55,93.63,94.40,36531006,AAPL
28-Jun-16,92.90,93.66,92.14,93.59,40444914,AAPL
27-Jun-16,93.00,93.05,91.50,92.04,46622188,AAPL
24-Jun-16,92.91,94.66,92.65,93.40,75311356,AAPL
23-Jun-16,95.94,96.29,95.25,96.10,32240187,AAPL
22-Jun-16,96.25,96.89,95.35,95.55,29219122,AAPL
21-Jun-16,94.94,96.35,94.68,95.91,35546358,AAPL
