Date,Open,High,Low,Close,Volume,TickerSymbol
30-Dec-16,43.31,43.65,42.34,42.67,3714345,BBY
29-Dec-16,43.67,44.23,42.71,43.07,4837394,BBY
28-Dec-16,44.99,45.00,43.12,43.71,4635442,BBY
27-Dec-16,44.96,45.38,44.64,44.75,2643668,BBY
23-Dec-16,45.02,45.37,44.32,44.77,3817797,BBY
22-Dec-16,46.94,47.23,44.74,45.10,6501211,BBY
21-Dec-16,46.90,47.48,46.61,46.82,3532564,BBY
20-Dec-16,46.64,47.53,46.63,47.26,4261190,BBY
19-Dec-16,47.22,47.56,46.39,46.56,5673122,BBY
16-Dec-16,48.01,48.11,46.95,47.00,9882699,BBY
15-Dec-16,48.30,48.63,48.08,48.16,4700369,BBY
14-Dec-16,48.88,49.07,48.18,48.21,4084699,BBY
13-Dec-16,48.80,49.01,48.24,48.66,3822116,BBY
12-Dec-16,48.91,49.04,48.56,48.77,3125735,BBY
9-Dec-16,49.20,49.20,48.62,49.00,4294387,BBY
8-Dec-16,48.52,49.40,48.50,49.31,7336691,BBY
7-Dec-16,47.36,48.57,47.36,48.52,5970938,BBY
6-Dec-16,46.54,47.09,46.54,46.93,5173214,BBY
5-Dec-16,46.06,47.71,46.06,46.82,8521338,BBY
2-Dec-16,45.71,46.26,45.53,45.67,3815484,BBY
1-Dec-16,45.55,46.06,45.30,45.45,5018952,BBY
30-Nov-16,45.37,46.02,45.07,45.70,5045033,BBY
29-Nov-16,45.52,46.00,45.39,45.62,3412187,BBY
28-Nov-16,46.58,46.64,45.28,45.33,7114009,BBY
25-Nov-16,47.00,47.17,46.28,46.58,2718618,BBY
23-Nov-16,46.55,47.29,46.37,46.96,5307966,BBY
22-Nov-16,45.42,46.98,45.32,46.60,6451203,BBY
21-Nov-16,45.08,46.14,44.83,45.65,7409528,BBY
18-Nov-16,45.68,45.68,44.67,44.79,12764383,BBY
17-Nov-16,42.89,46.72,42.55,45.99,25401770,BBY
16-Nov-16,39.75,40.60,39.43,40.45,11821341,BBY
15-Nov-16,39.55,40.28,39.03,39.88,8847447,BBY
14-Nov-16,38.56,40.28,38.56,39.94,9473238,BBY
11-Nov-16,38.69,39.07,37.65,38.36,14522791,BBY
10-Nov-16,39.16,40.07,39.15,39.98,6318020,BBY
9-Nov-16,37.39,38.70,37.10,38.51,6458119,BBY
8-Nov-16,37.87,38.44,37.87,37.99,6113637,BBY
7-Nov-16,38.71,39.18,38.70,39.07,3406577,BBY
4-Nov-16,38.21,38.84,37.84,38.19,2862424,BBY
3-Nov-16,38.35,38.75,37.97,38.11,5647503,BBY
2-Nov-16,38.34,38.86,38.16,38.39,3406401,BBY
1-Nov-16,38.93,39.09,38.36,38.67,2919919,BBY
31-Oct-16,38.78,39.21,38.66,38.91,2903371,BBY
28-Oct-16,38.44,39.30,38.44,38.78,3985214,BBY
27-Oct-16,39.40,39.41,38.36,38.48,3697628,BBY
26-Oct-16,39.04,39.50,38.80,39.29,2526305,BBY
25-Oct-16,39.34,39.50,38.76,39.26,3581854,BBY
24-Oct-16,39.66,39.78,39.20,39.46,2491755,BBY
21-Oct-16,39.29,39.63,39.18,39.46,2241877,BBY
20-Oct-16,39.46,39.89,39.40,39.48,3167190,BBY
19-Oct-16,39.62,39.65,39.00,39.55,3616154,BBY
18-Oct-16,39.77,39.94,39.35,39.42,3410427,BBY
17-Oct-16,39.16,40.10,38.72,39.47,5257416,BBY
14-Oct-16,39.82,40.21,39.29,39.31,4653066,BBY
13-Oct-16,39.45,39.98,38.76,39.83,6619945,BBY
12-Oct-16,38.84,39.98,38.64,39.77,6872525,BBY
11-Oct-16,38.80,39.02,38.30,38.33,3879116,BBY
10-Oct-16,39.18,39.59,38.70,38.91,3556304,BBY
7-Oct-16,38.43,39.25,38.20,38.90,6886269,BBY
6-Oct-16,37.73,38.28,37.62,38.18,3664466,BBY
5-Oct-16,38.12,38.38,37.89,37.89,3638038,BBY
4-Oct-16,38.18,38.72,37.88,37.98,2855006,BBY
3-Oct-16,38.15,38.55,37.87,38.18,3608509,BBY
30-Sep-16,37.66,38.44,37.51,38.18,4877888,BBY
29-Sep-16,37.72,38.07,37.38,37.41,3202199,BBY
28-Sep-16,38.25,38.25,37.45,37.68,4270647,BBY
27-Sep-16,37.65,38.32,37.60,38.25,3482944,BBY
26-Sep-16,37.84,37.98,37.45,37.51,4475683,BBY
23-Sep-16,38.32,38.77,37.88,37.99,3930193,BBY
22-Sep-16,38.46,38.87,38.35,38.47,3784495,BBY
21-Sep-16,38.09,38.28,37.73,38.27,2954742,BBY
20-Sep-16,38.21,38.38,37.77,37.82,3642408,BBY
19-Sep-16,38.10,38.45,38.03,38.14,5647395,BBY
16-Sep-16,37.66,38.08,37.47,38.00,5390008,BBY
15-Sep-16,37.48,37.96,37.22,37.68,4556488,BBY
14-Sep-16,37.50,38.04,37.22,37.66,5912879,BBY
13-Sep-16,37.20,38.02,37.11,37.47,6179685,BBY
12-Sep-16,36.64,37.46,36.51,37.29,5764032,BBY
9-Sep-16,37.27,37.73,36.87,36.87,5065852,BBY
8-Sep-16,38.44,38.50,37.81,37.92,6200306,BBY
7-Sep-16,38.31,38.64,38.17,38.59,5915233,BBY
6-Sep-16,38.65,38.81,38.05,38.24,4069587,BBY
2-Sep-16,38.54,39.26,38.31,38.75,3599183,BBY
1-Sep-16,38.56,38.78,37.97,38.54,5317436,BBY
31-Aug-16,38.93,39.06,38.23,38.48,6064186,BBY
30-Aug-16,38.97,39.31,38.90,38.90,3772898,BBY
29-Aug-16,39.46,39.51,38.87,39.02,5674582,BBY
26-Aug-16,39.72,39.78,39.24,39.48,5538967,BBY
25-Aug-16,38.99,39.59,38.67,39.51,7799602,BBY
24-Aug-16,39.20,40.58,38.97,39.50,20954177,BBY
23-Aug-16,38.36,39.36,37.66,39.23,40482333,BBY
22-Aug-16,32.63,33.60,32.48,32.80,11426896,BBY
19-Aug-16,32.84,32.86,32.20,32.59,7096413,BBY
18-Aug-16,33.50,33.59,32.95,33.20,5328607,BBY
17-Aug-16,33.47,33.68,32.80,33.30,6475349,BBY
16-Aug-16,34.50,34.58,34.26,34.31,2948228,BBY
15-Aug-16,34.22,34.97,34.10,34.51,4798155,BBY
12-Aug-16,34.47,35.46,34.26,34.87,6463013,BBY
11-Aug-16,34.20,34.78,34.09,34.62,4739755,BBY
10-Aug-16,33.75,34.04,33.59,33.73,3293861,BBY
9-Aug-16,34.12,34.29,33.54,33.56,3996948,BBY
8-Aug-16,34.35,34.59,34.11,34.14,3387573,BBY
5-Aug-16,33.66,34.26,33.61,34.25,4218293,BBY
4-Aug-16,33.40,33.86,33.18,33.45,2722104,BBY
3-Aug-16,32.65,33.46,32.02,33.41,4113477,BBY
2-Aug-16,33.50,33.50,32.55,32.86,4718835,BBY
1-Aug-16,33.41,33.60,33.08,33.47,3653347,BBY
29-Jul-16,33.24,33.63,33.03,33.60,3931325,BBY
28-Jul-16,33.07,33.40,32.62,33.28,4539682,BBY
27-Jul-16,32.84,33.32,32.69,33.14,4918017,BBY
26-Jul-16,32.50,33.27,32.50,33.19,4998272,BBY
25-Jul-16,32.14,32.51,31.97,32.47,3277448,BBY
22-Jul-16,32.15,32.47,31.91,32.14,3515048,BBY
21-Jul-16,31.84,32.63,31.71,32.28,4674434,BBY
20-Jul-16,31.81,31.97,31.70,31.79,2580529,BBY
19-Jul-16,31.96,32.03,31.57,31.69,2901134,BBY
18-Jul-16,31.51,32.15,31.49,31.98,3220604,BBY
15-Jul-16,31.82,31.82,31.01,31.38,4086203,BBY
14-Jul-16,31.67,31.93,31.49,31.76,4721386,BBY
13-Jul-16,31.54,31.77,30.94,31.40,5332294,BBY
12-Jul-16,31.52,32.00,31.49,31.53,3937233,BBY
11-Jul-16,30.97,31.53,30.97,31.25,2787314,BBY
8-Jul-16,30.97,31.21,30.70,30.95,3696491,BBY
7-Jul-16,30.51,30.79,30.42,30.60,3290265,BBY
6-Jul-16,30.14,30.64,29.79,30.63,4961287,BBY
5-Jul-16,31.23,31.46,30.15,30.36,4923730,BBY
1-Jul-16,30.66,31.64,30.66,31.36,4114855,BBY
30-Jun-16,30.49,30.81,30.17,30.60,3588655,BBY
29-Jun-16,30.51,30.74,30.20,30.50,4960928,BBY
28-Jun-16,29.63,30.27,29.51,30.02,3910322,BBY
27-Jun-16,29.96,30.10,29.05,29.37,3964196,BBY
24-Jun-16,29.65,30.34,29.50,30.15,4192786,BBY
23-Jun-16,30.36,30.88,30.26,30.43,3339479,BBY
22-Jun-16,30.07,30.23,29.91,30.05,3587995,BBY
21-Jun-16,30.46,30.59,30.01,30.06,4067183,BBY
20-Jun-16,30.64,30.95,30.34,30.38,4227085,BBY
17-Jun-16,29.67,30.95,29.54,30.30,7643088,BBY
16-Jun-16,29.18,29.84,28.94,29.67,6010447,BBY
15-Jun-16,28.80,29.85,28.76,29.34,7017761,BBY
14-Jun-16,29.29,29.64,28.80,29.17,6143217,BBY
13-Jun-16,29.40,29.74,29.24,29.34,5925733,BBY
10-Jun-16,29.62,29.66,28.88,29.44,6608239,BBY
9-Jun-16,31.33,31.34,30.04,30.10,6128668,BBY
8-Jun-16,31.78,31.80,31.36,31.42,3348974,BBY
7-Jun-16,31.45,31.79,31.20,31.59,4843064,BBY
6-Jun-16,32.00,32.05,30.76,31.33,8113070,BBY
3-Jun-16,32.36,32.48,31.79,32.35,2886747,BBY
2-Jun-16,32.15,32.68,32.05,32.46,3802140,BBY
