Date,Open,High,Low,Close,Volume,TickerSymbol
30-Dec-16,37.47,37.68,37.33,37.38,5043883,BP
29-Dec-16,37.49,37.53,37.34,37.40,5015263,BP
28-Dec-16,37.32,37.47,37.18,37.25,6133371,BP
27-Dec-16,37.10,37.23,37.09,37.11,3725613,BP
23-Dec-16,36.84,37.05,36.78,37.02,3652931,BP
22-Dec-16,36.98,37.17,36.88,36.91,7860528,BP
21-Dec-16,36.86,36.92,36.67,36.78,4440475,BP
20-Dec-16,36.65,36.80,36.48,36.52,4354722,BP
19-Dec-16,36.63,36.78,36.55,36.56,4582033,BP
16-Dec-16,36.21,36.73,36.14,36.59,5517052,BP
15-Dec-16,35.44,35.94,35.31,35.85,5093099,BP
14-Dec-16,36.74,36.88,36.01,36.02,5699787,BP
13-Dec-16,36.90,36.94,36.40,36.79,7504732,BP
12-Dec-16,36.61,36.81,36.43,36.51,8416551,BP
9-Dec-16,36.15,36.21,36.00,36.01,4633089,BP
8-Dec-16,36.05,36.23,35.86,36.19,5107459,BP
7-Dec-16,35.91,35.98,35.67,35.89,6006667,BP
6-Dec-16,35.68,35.70,35.34,35.57,5386986,BP
5-Dec-16,35.56,35.78,35.48,35.48,4710189,BP
2-Dec-16,35.45,35.80,35.29,35.48,5205923,BP
1-Dec-16,35.69,35.95,35.37,35.39,7802399,BP
30-Nov-16,34.54,35.27,34.54,35.01,11784765,BP
29-Nov-16,33.37,33.63,33.24,33.52,5901633,BP
28-Nov-16,34.09,34.13,33.72,33.72,5430987,BP
25-Nov-16,34.40,34.46,34.18,34.27,1899894,BP
23-Nov-16,34.13,34.59,34.12,34.40,4277205,BP
22-Nov-16,34.48,34.65,34.26,34.54,6735892,BP
21-Nov-16,34.31,34.45,34.24,34.40,5881734,BP
18-Nov-16,33.35,33.80,33.27,33.64,6682765,BP
17-Nov-16,33.58,33.86,33.45,33.50,5367346,BP
16-Nov-16,33.26,33.52,33.15,33.30,4985712,BP
15-Nov-16,33.22,33.68,33.22,33.61,5679259,BP
14-Nov-16,32.75,33.00,32.53,32.98,5449619,BP
11-Nov-16,33.51,33.58,32.93,33.18,6598083,BP
10-Nov-16,34.28,34.31,33.84,33.94,5210482,BP
9-Nov-16,33.19,34.03,33.19,33.84,5587985,BP
8-Nov-16,33.38,33.68,33.32,33.48,4865082,BP
7-Nov-16,33.83,34.05,33.70,34.02,5863753,BP
4-Nov-16,33.58,33.84,33.48,33.54,6029988,BP
3-Nov-16,34.02,34.13,33.70,33.84,4876163,BP
2-Nov-16,34.33,34.50,33.76,34.01,7777965,BP
1-Nov-16,35.02,35.03,33.83,34.11,11938819,BP
31-Oct-16,35.42,35.67,35.31,35.55,5420464,BP
28-Oct-16,35.62,36.00,35.54,35.68,5057015,BP
27-Oct-16,35.94,36.25,35.85,36.00,4174317,BP
26-Oct-16,35.57,35.93,35.47,35.85,4279981,BP
25-Oct-16,36.04,36.25,35.92,36.04,4475795,BP
24-Oct-16,36.18,36.25,35.58,35.87,4502665,BP
21-Oct-16,36.06,36.27,35.91,36.25,4214936,BP
20-Oct-16,35.94,36.21,35.79,36.05,4003119,BP
19-Oct-16,36.12,36.39,36.03,36.05,3886376,BP
18-Oct-16,36.16,36.17,35.88,35.98,3642441,BP
17-Oct-16,35.56,35.68,35.38,35.50,3488103,BP
14-Oct-16,36.01,36.13,35.78,35.84,3255572,BP
13-Oct-16,35.47,35.89,35.29,35.68,4434684,BP
12-Oct-16,35.99,35.99,35.60,35.79,4944480,BP
11-Oct-16,36.44,36.48,35.62,35.78,7250577,BP
10-Oct-16,36.43,36.83,36.42,36.67,4331936,BP
7-Oct-16,36.06,36.39,35.92,36.17,4678797,BP
6-Oct-16,36.15,36.21,35.83,35.95,4422073,BP
5-Oct-16,36.02,36.22,35.75,36.03,5394479,BP
4-Oct-16,36.02,36.17,35.57,35.68,8148075,BP
3-Oct-16,35.34,35.55,35.21,35.47,4873842,BP
30-Sep-16,35.24,35.39,35.03,35.16,6133653,BP
29-Sep-16,35.23,35.30,34.85,35.06,9021686,BP
28-Sep-16,34.12,34.89,33.70,34.84,9765948,BP
27-Sep-16,33.48,33.82,33.32,33.61,4171938,BP
26-Sep-16,33.71,33.98,33.62,33.68,4579521,BP
23-Sep-16,34.04,34.36,33.82,33.96,5138003,BP
22-Sep-16,34.57,34.63,34.19,34.26,8461869,BP
21-Sep-16,33.32,33.69,33.21,33.61,6634783,BP
20-Sep-16,33.41,33.46,33.06,33.07,4759870,BP
19-Sep-16,33.91,33.92,33.42,33.44,4741152,BP
16-Sep-16,33.08,33.42,33.06,33.31,5594561,BP
15-Sep-16,33.27,33.84,33.20,33.61,4707117,BP
14-Sep-16,33.39,33.80,33.22,33.32,6672947,BP
13-Sep-16,33.85,33.97,33.36,33.50,9231919,BP
12-Sep-16,34.11,34.74,34.00,34.63,6385635,BP
9-Sep-16,34.63,34.70,34.24,34.35,5457864,BP
8-Sep-16,34.89,35.18,34.66,35.08,5196079,BP
7-Sep-16,34.78,34.91,34.65,34.76,3917333,BP
6-Sep-16,34.55,34.76,34.38,34.69,4103561,BP
2-Sep-16,34.25,34.75,34.16,34.50,6917694,BP
1-Sep-16,33.81,33.83,33.43,33.66,3742424,BP
31-Aug-16,33.99,34.09,33.75,33.86,5018132,BP
30-Aug-16,34.23,34.32,34.05,34.10,4674975,BP
29-Aug-16,33.90,34.32,33.90,34.24,2849533,BP
26-Aug-16,34.38,34.80,34.01,34.16,6267561,BP
25-Aug-16,34.33,34.53,34.17,34.22,4672038,BP
24-Aug-16,34.27,34.40,34.12,34.27,6293927,BP
23-Aug-16,34.08,34.31,33.95,34.13,6767181,BP
22-Aug-16,33.83,34.03,33.70,33.96,4264236,BP
19-Aug-16,34.35,34.39,34.16,34.33,4037959,BP
18-Aug-16,34.29,34.67,34.22,34.65,4635078,BP
17-Aug-16,34.04,34.24,33.80,34.20,5000538,BP
16-Aug-16,34.08,34.32,33.97,34.21,6643698,BP
15-Aug-16,33.92,34.06,33.79,33.87,4214902,BP
12-Aug-16,33.79,33.87,33.60,33.74,4325017,BP
11-Aug-16,33.21,33.85,33.12,33.64,6439699,BP
10-Aug-16,33.44,33.49,32.97,33.01,5060472,BP
9-Aug-16,33.51,33.64,33.25,33.38,5363815,BP
8-Aug-16,33.08,33.38,33.08,33.17,6020377,BP
5-Aug-16,33.27,33.31,32.96,33.15,6104672,BP
4-Aug-16,33.06,33.30,32.93,33.00,6920523,BP
3-Aug-16,32.65,33.03,32.50,33.01,9514159,BP
2-Aug-16,33.65,33.74,33.14,33.45,9236016,BP
1-Aug-16,33.91,33.94,33.10,33.18,11808579,BP
29-Jul-16,34.00,34.43,33.87,34.40,6349495,BP
28-Jul-16,34.42,34.47,33.91,33.99,9295001,BP
27-Jul-16,34.97,35.17,34.42,34.57,8424142,BP
26-Jul-16,34.08,34.67,34.07,34.59,8645952,BP
25-Jul-16,35.46,35.49,34.73,34.90,10941289,BP
22-Jul-16,35.87,35.92,35.66,35.87,5635630,BP
21-Jul-16,35.83,36.25,35.77,35.84,4023135,BP
20-Jul-16,35.91,36.07,35.70,35.96,5153621,BP
19-Jul-16,36.00,36.14,35.83,36.03,5346676,BP
18-Jul-16,36.24,36.33,36.03,36.17,5608496,BP
15-Jul-16,36.60,36.65,36.42,36.56,6032430,BP
14-Jul-16,37.09,37.10,36.55,36.56,5499881,BP
13-Jul-16,37.10,37.28,36.27,36.56,8622540,BP
12-Jul-16,36.72,37.20,36.58,36.91,12162570,BP
11-Jul-16,36.06,36.23,35.98,36.11,6900338,BP
8-Jul-16,35.85,36.04,35.65,35.92,7241239,BP
7-Jul-16,36.02,36.04,35.16,35.40,8900911,BP
6-Jul-16,35.24,35.58,34.91,35.57,8823603,BP
5-Jul-16,35.89,36.04,35.70,35.90,10928347,BP
1-Jul-16,35.80,36.09,35.75,36.00,9620895,BP
30-Jun-16,34.85,35.58,34.80,35.51,14938392,BP
29-Jun-16,34.16,35.08,33.85,34.79,17381260,BP
28-Jun-16,33.01,33.26,32.75,33.24,9835894,BP
27-Jun-16,32.18,32.35,31.56,31.99,19465077,BP
24-Jun-16,32.03,33.54,32.02,32.98,34583772,BP
23-Jun-16,34.74,34.75,34.24,34.63,10651173,BP
22-Jun-16,34.52,34.66,33.89,33.89,13470984,BP
21-Jun-16,33.74,34.29,33.54,34.15,11063515,BP
20-Jun-16,33.82,33.84,33.39,33.42,11451704,BP
17-Jun-16,32.31,32.79,32.24,32.75,10576067,BP
16-Jun-16,31.19,32.15,30.81,32.03,13456445,BP
15-Jun-16,30.92,31.39,30.83,31.15,12399936,BP
14-Jun-16,31.46,31.63,30.66,30.93,15171832,BP
13-Jun-16,31.79,32.32,31.72,31.86,8540462,BP
10-Jun-16,32.37,32.61,32.12,32.22,9327202,BP
9-Jun-16,32.70,33.07,32.68,33.04,5892897,BP
8-Jun-16,33.53,33.60,33.25,33.27,9341518,BP
7-Jun-16,32.81,33.25,32.79,33.07,10862295,BP
6-Jun-16,32.28,32.62,32.21,32.53,9159933,BP
3-Jun-16,31.82,32.02,31.52,31.88,12365767,BP
2-Jun-16,31.09,31.53,30.99,31.52,12669400,BP
