Date,Open,High,Low,Close,Volume,TickerSymbol
30-Dec-16,64.55,64.71,63.24,63.62,3811897,CBS
29-Dec-16,64.59,64.98,64.48,64.50,1583729,CBS
28-Dec-16,64.81,64.96,64.45,64.50,2027011,CBS
27-Dec-16,64.71,64.96,64.57,64.85,1457772,CBS
23-Dec-16,64.55,64.80,64.47,64.67,1550209,CBS
22-Dec-16,64.48,65.00,64.33,64.50,2437510,CBS
21-Dec-16,64.55,64.95,64.40,64.63,1672656,CBS
20-Dec-16,64.56,64.97,64.38,64.62,4011754,CBS
19-Dec-16,64.85,64.88,64.04,64.34,3443467,CBS
16-Dec-16,64.25,65.09,64.08,64.54,7637598,CBS
15-Dec-16,63.72,64.60,63.40,64.03,3899861,CBS
14-Dec-16,63.15,64.55,63.15,63.64,5244383,CBS
13-Dec-16,62.45,63.44,62.22,63.06,4681899,CBS
12-Dec-16,62.04,64.23,59.32,62.18,18385382,CBS
9-Dec-16,63.53,64.04,62.15,62.56,5665904,CBS
8-Dec-16,63.65,63.90,63.20,63.58,4220844,CBS
7-Dec-16,60.93,63.65,60.66,63.44,4828453,CBS
6-Dec-16,61.00,61.35,60.96,61.15,4390201,CBS
5-Dec-16,60.41,61.31,60.09,60.99,3621905,CBS
2-Dec-16,60.57,60.88,59.86,60.18,4843048,CBS
1-Dec-16,60.74,61.20,60.27,60.57,3900707,CBS
30-Nov-16,60.97,61.33,60.44,60.72,3763910,CBS
29-Nov-16,60.48,61.26,60.33,61.00,3811447,CBS
28-Nov-16,60.71,61.11,60.44,60.49,2527011,CBS
25-Nov-16,59.90,60.93,59.85,60.92,1191387,CBS
23-Nov-16,60.29,60.42,59.75,60.01,3703633,CBS
22-Nov-16,60.32,61.34,60.14,60.93,5325118,CBS
21-Nov-16,60.08,60.70,59.97,60.29,5571526,CBS
18-Nov-16,59.95,60.52,59.92,60.00,5428265,CBS
17-Nov-16,59.33,60.14,59.20,60.07,3630903,CBS
16-Nov-16,59.00,59.58,58.85,59.38,3754173,CBS
15-Nov-16,58.85,59.47,58.54,59.21,5003756,CBS
14-Nov-16,57.89,59.08,57.66,58.86,5251125,CBS
11-Nov-16,56.95,58.04,56.95,57.74,7196552,CBS
10-Nov-16,57.43,57.95,57.06,57.15,4305612,CBS
9-Nov-16,56.40,57.74,56.24,57.42,5032407,CBS
8-Nov-16,57.50,58.43,57.42,57.73,4962504,CBS
7-Nov-16,57.71,59.72,57.34,57.62,5485962,CBS
4-Nov-16,57.44,57.60,56.43,57.01,7193446,CBS
3-Nov-16,55.39,56.37,55.25,55.50,5024804,CBS
2-Nov-16,55.92,56.06,55.03,55.15,4722077,CBS
1-Nov-16,56.49,56.62,55.30,55.83,4337646,CBS
31-Oct-16,56.68,57.12,56.48,56.62,2900981,CBS
28-Oct-16,56.35,57.22,56.35,56.54,3067704,CBS
27-Oct-16,57.13,57.29,55.96,56.41,5563261,CBS
26-Oct-16,55.89,57.02,55.65,56.78,4272643,CBS
25-Oct-16,56.38,56.76,55.91,55.99,4292284,CBS
24-Oct-16,58.00,58.19,56.32,56.35,5624072,CBS
21-Oct-16,56.36,58.35,56.36,57.66,10802123,CBS
20-Oct-16,55.40,57.00,55.27,56.49,6348723,CBS
19-Oct-16,55.33,57.43,55.04,55.53,4288471,CBS
18-Oct-16,56.13,56.29,55.06,55.10,3747587,CBS
17-Oct-16,55.05,55.61,54.93,55.39,3585994,CBS
14-Oct-16,55.63,56.00,55.03,55.11,2916572,CBS
13-Oct-16,54.71,55.42,54.37,55.24,2529594,CBS
12-Oct-16,55.50,55.56,54.90,55.15,3792940,CBS
11-Oct-16,55.65,55.82,54.96,55.45,4396730,CBS
10-Oct-16,55.41,56.11,55.39,55.73,2727957,CBS
7-Oct-16,56.57,56.79,54.91,55.22,4099205,CBS
6-Oct-16,56.24,56.61,55.67,56.21,3971549,CBS
5-Oct-16,56.06,56.85,55.61,56.41,5608823,CBS
4-Oct-16,55.50,56.40,55.29,55.55,5893290,CBS
3-Oct-16,54.39,55.03,54.35,54.93,3130031,CBS
30-Sep-16,54.82,54.96,54.11,54.74,8244036,CBS
29-Sep-16,54.02,55.92,53.56,54.57,12488814,CBS
28-Sep-16,52.09,54.42,51.54,54.15,11189671,CBS
27-Sep-16,51.07,52.09,50.84,52.05,4383770,CBS
26-Sep-16,51.60,51.61,50.76,51.13,4567788,CBS
23-Sep-16,49.73,51.08,49.73,50.91,4052153,CBS
22-Sep-16,49.95,50.37,49.86,50.07,3814194,CBS
21-Sep-16,49.86,50.30,48.88,50.08,7149860,CBS
20-Sep-16,51.90,51.90,49.16,49.97,8364371,CBS
19-Sep-16,51.74,51.95,50.96,51.08,3319275,CBS
16-Sep-16,51.98,52.35,51.13,51.79,6386667,CBS
15-Sep-16,52.07,52.52,51.77,52.24,2826613,CBS
14-Sep-16,51.83,52.54,51.73,52.14,2171761,CBS
13-Sep-16,52.46,52.46,51.57,51.84,4605836,CBS
12-Sep-16,51.63,53.13,51.60,52.76,4733356,CBS
9-Sep-16,52.90,52.92,51.91,51.91,5288543,CBS
8-Sep-16,52.48,53.41,52.37,53.36,4518536,CBS
7-Sep-16,51.48,53.00,51.32,52.62,5012572,CBS
6-Sep-16,52.23,52.32,51.18,51.75,4087831,CBS
2-Sep-16,52.29,52.78,52.12,52.22,1842576,CBS
1-Sep-16,51.15,52.07,51.05,52.04,4210837,CBS
31-Aug-16,51.03,51.48,50.96,51.03,2298642,CBS
30-Aug-16,51.42,51.52,51.07,51.27,2658997,CBS
29-Aug-16,51.46,51.74,51.26,51.46,2300895,CBS
26-Aug-16,51.73,52.09,51.16,51.44,3205642,CBS
25-Aug-16,52.25,52.36,51.66,51.69,3134598,CBS
24-Aug-16,52.68,52.96,52.20,52.38,2631681,CBS
23-Aug-16,52.88,53.00,52.54,52.80,4050645,CBS
22-Aug-16,51.77,52.82,51.55,52.68,4234206,CBS
19-Aug-16,51.38,51.88,51.12,51.85,3343971,CBS
18-Aug-16,51.74,52.07,51.48,51.53,2395636,CBS
17-Aug-16,51.62,51.88,51.44,51.75,4225322,CBS
16-Aug-16,52.19,52.33,51.59,51.59,4211201,CBS
15-Aug-16,52.45,52.60,52.28,52.28,2177316,CBS
12-Aug-16,52.65,52.88,52.14,52.35,2508982,CBS
11-Aug-16,52.20,53.04,52.20,52.92,2993686,CBS
10-Aug-16,51.99,52.41,51.77,52.05,2269848,CBS
9-Aug-16,51.90,52.17,51.66,51.85,2904273,CBS
8-Aug-16,52.31,52.33,51.79,52.01,3679654,CBS
5-Aug-16,52.01,52.24,51.73,52.17,2536651,CBS
4-Aug-16,52.00,52.58,51.64,51.83,3226921,CBS
3-Aug-16,51.91,52.66,51.77,52.09,3633682,CBS
2-Aug-16,51.99,52.35,51.68,51.91,4397312,CBS
1-Aug-16,52.25,52.72,52.00,52.10,4117498,CBS
29-Jul-16,53.09,53.30,51.96,52.22,8271148,CBS
28-Jul-16,53.90,54.80,53.63,54.21,6528872,CBS
27-Jul-16,54.61,54.93,54.06,54.10,3674261,CBS
26-Jul-16,54.41,54.81,53.96,54.44,3375256,CBS
25-Jul-16,54.91,55.30,54.39,54.42,3308997,CBS
22-Jul-16,54.20,55.18,54.01,55.15,4887655,CBS
21-Jul-16,54.63,55.01,53.78,53.95,4805913,CBS
20-Jul-16,55.21,55.21,54.27,54.53,2979985,CBS
19-Jul-16,54.60,55.22,54.10,54.98,4140361,CBS
18-Jul-16,55.90,55.96,54.67,54.69,6549627,CBS
15-Jul-16,56.91,57.15,55.69,55.85,6783003,CBS
14-Jul-16,58.05,58.22,57.65,57.94,2665411,CBS
13-Jul-16,58.01,58.17,57.28,57.51,2778004,CBS
12-Jul-16,57.72,58.15,57.66,57.94,2454293,CBS
11-Jul-16,57.25,57.79,57.02,57.53,3101779,CBS
8-Jul-16,56.55,57.11,56.25,57.08,3434505,CBS
7-Jul-16,55.27,56.11,55.14,56.11,3400849,CBS
6-Jul-16,54.46,55.16,54.14,55.09,3220192,CBS
5-Jul-16,54.58,54.79,54.13,54.67,2483322,CBS
1-Jul-16,54.44,55.70,54.35,54.86,3519468,CBS
30-Jun-16,53.28,54.44,52.96,54.44,4332050,CBS
29-Jun-16,52.50,53.05,52.27,52.76,2404110,CBS
28-Jun-16,51.36,52.20,51.24,52.07,4298916,CBS
27-Jun-16,50.99,51.44,50.53,50.89,4134937,CBS
24-Jun-16,51.54,52.64,51.32,51.65,6412028,CBS
23-Jun-16,54.12,54.20,53.20,53.69,2794215,CBS
