Date,Open,High,Low,Close,Volume,TickerSymbol
30-Dec-16,69.95,70.05,68.93,69.05,12188364,CMCSA
29-Dec-16,70.40,70.66,69.96,70.09,5993479,CMCSA
28-Dec-16,70.86,71.00,70.35,70.45,4624237,CMCSA
27-Dec-16,70.80,71.32,70.50,70.87,3069642,CMCSA
23-Dec-16,71.01,71.08,70.46,70.65,4256760,CMCSA
22-Dec-16,70.59,71.02,70.22,71.02,9494347,CMCSA
21-Dec-16,69.47,71.10,69.47,70.83,5610020,CMCSA
20-Dec-16,70.32,71.20,69.98,71.01,10382232,CMCSA
19-Dec-16,70.16,70.44,69.77,70.15,7020061,CMCSA
16-Dec-16,70.21,70.41,69.55,69.86,14950573,CMCSA
15-Dec-16,70.18,70.64,69.61,69.88,10099088,CMCSA
14-Dec-16,69.94,70.69,69.64,70.02,10270265,CMCSA
13-Dec-16,69.07,70.23,68.93,69.98,9314160,CMCSA
12-Dec-16,69.03,69.28,68.51,69.00,7483527,CMCSA
9-Dec-16,69.47,69.48,68.93,69.45,8580877,CMCSA
8-Dec-16,69.17,69.48,68.94,69.23,8776270,CMCSA
7-Dec-16,68.76,69.43,68.07,69.33,10549399,CMCSA
6-Dec-16,68.62,68.98,68.22,68.70,10671253,CMCSA
5-Dec-16,69.02,69.32,68.38,68.68,9845644,CMCSA
2-Dec-16,69.95,70.34,68.64,68.78,13361365,CMCSA
1-Dec-16,69.41,70.05,69.23,69.86,9673429,CMCSA
30-Nov-16,70.08,70.28,69.25,69.51,11504500,CMCSA
29-Nov-16,68.50,70.22,68.28,70.14,15245615,CMCSA
28-Nov-16,68.79,69.00,68.02,68.31,9786228,CMCSA
25-Nov-16,68.93,69.24,68.79,69.16,3481776,CMCSA
23-Nov-16,69.11,69.92,68.92,68.96,9431490,CMCSA
22-Nov-16,68.26,69.16,68.20,69.02,13216408,CMCSA
21-Nov-16,68.33,68.71,67.97,68.20,8627624,CMCSA
18-Nov-16,68.23,68.60,67.93,68.34,10462568,CMCSA
17-Nov-16,67.40,68.72,66.80,68.49,11681080,CMCSA
16-Nov-16,66.78,67.52,66.59,67.47,11434445,CMCSA
15-Nov-16,67.08,67.69,66.56,66.98,15704674,CMCSA
14-Nov-16,66.18,68.13,66.18,67.26,18835808,CMCSA
11-Nov-16,64.74,66.57,64.60,66.46,15883390,CMCSA
10-Nov-16,63.53,65.92,63.50,65.10,27402401,CMCSA
9-Nov-16,62.00,64.10,62.00,63.45,20162069,CMCSA
8-Nov-16,61.63,62.92,61.44,62.52,11165823,CMCSA
7-Nov-16,61.53,61.75,61.05,61.51,9671500,CMCSA
4-Nov-16,60.46,61.24,60.04,60.66,10799311,CMCSA
3-Nov-16,61.56,61.95,60.84,60.95,9536993,CMCSA
2-Nov-16,61.36,61.63,61.10,61.47,11720335,CMCSA
1-Nov-16,62.52,62.52,61.14,61.45,10513990,CMCSA
31-Oct-16,62.19,62.48,61.70,61.82,9695376,CMCSA
28-Oct-16,61.48,62.72,61.48,61.88,14461636,CMCSA
27-Oct-16,62.65,62.75,60.60,61.48,22483856,CMCSA
26-Oct-16,64.93,64.93,62.38,62.56,21418787,CMCSA
25-Oct-16,65.00,65.63,64.39,64.52,15201529,CMCSA
24-Oct-16,65.59,65.59,64.62,64.96,9645893,CMCSA
21-Oct-16,63.97,64.31,63.57,64.06,11443677,CMCSA
20-Oct-16,64.78,64.90,64.18,64.35,10700574,CMCSA
19-Oct-16,65.12,65.52,64.72,64.91,8533211,CMCSA
18-Oct-16,65.47,65.50,64.81,64.88,7678181,CMCSA
17-Oct-16,65.14,65.58,64.98,65.02,5392118,CMCSA
14-Oct-16,65.20,65.74,64.99,65.20,7663840,CMCSA
13-Oct-16,64.88,65.30,64.21,65.12,7144831,CMCSA
12-Oct-16,65.09,65.57,64.91,65.24,6413001,CMCSA
11-Oct-16,65.72,65.72,64.87,64.96,7381848,CMCSA
10-Oct-16,65.47,65.99,65.43,65.78,7425005,CMCSA
7-Oct-16,65.71,65.73,64.96,65.36,7471618,CMCSA
6-Oct-16,65.60,65.79,65.08,65.41,7247662,CMCSA
5-Oct-16,66.14,66.24,65.56,65.80,8251405,CMCSA
4-Oct-16,66.07,66.38,65.64,65.83,7295036,CMCSA
3-Oct-16,65.88,66.35,65.70,66.19,6735012,CMCSA
30-Sep-16,66.54,66.57,66.20,66.34,10567846,CMCSA
29-Sep-16,66.68,66.68,65.78,66.25,9331956,CMCSA
28-Sep-16,66.17,66.71,66.00,66.68,7806127,CMCSA
27-Sep-16,65.76,66.40,65.60,66.17,8627977,CMCSA
26-Sep-16,67.25,67.25,65.70,65.81,7822463,CMCSA
23-Sep-16,66.69,67.50,66.69,67.15,9201215,CMCSA
22-Sep-16,67.50,67.53,66.86,67.30,8715482,CMCSA
21-Sep-16,66.18,67.34,66.07,67.16,8460178,CMCSA
20-Sep-16,66.31,66.76,66.02,66.23,7575861,CMCSA
19-Sep-16,65.98,66.33,65.58,65.85,6794346,CMCSA
16-Sep-16,65.98,66.14,65.28,65.92,13581361,CMCSA
15-Sep-16,64.91,66.43,64.82,66.24,10140801,CMCSA
14-Sep-16,64.98,65.43,64.75,65.17,7610574,CMCSA
13-Sep-16,65.28,65.54,64.74,64.77,12579670,CMCSA
12-Sep-16,64.95,65.90,64.85,65.76,8604093,CMCSA
9-Sep-16,65.23,65.88,64.82,65.11,14162460,CMCSA
8-Sep-16,66.22,66.44,65.86,66.16,8110050,CMCSA
7-Sep-16,66.12,66.45,66.01,66.35,7126716,CMCSA
6-Sep-16,66.04,66.40,65.62,66.34,7280976,CMCSA
2-Sep-16,66.38,66.56,65.95,66.16,6007871,CMCSA
1-Sep-16,65.60,66.08,65.27,65.89,8862554,CMCSA
31-Aug-16,65.34,65.69,64.97,65.26,6786926,CMCSA
30-Aug-16,65.67,65.67,65.11,65.55,6390579,CMCSA
29-Aug-16,65.67,65.99,65.56,65.66,5815909,CMCSA
26-Aug-16,65.74,66.19,65.16,65.51,6732292,CMCSA
25-Aug-16,65.76,65.89,65.43,65.56,6473985,CMCSA
24-Aug-16,65.48,65.87,65.38,65.69,8843094,CMCSA
23-Aug-16,66.70,66.72,65.34,65.66,10079986,CMCSA
22-Aug-16,66.36,66.47,65.82,66.44,5702042,CMCSA
19-Aug-16,67.16,67.25,66.18,66.29,12830255,CMCSA
18-Aug-16,67.87,67.87,67.08,67.41,5663657,CMCSA
17-Aug-16,67.32,67.88,67.03,67.77,5493499,CMCSA
16-Aug-16,67.24,67.66,67.15,67.31,4716726,CMCSA
15-Aug-16,67.51,67.96,67.46,67.52,4786394,CMCSA
12-Aug-16,67.33,67.80,67.32,67.51,4112402,CMCSA
11-Aug-16,67.25,67.80,67.17,67.68,5918261,CMCSA
10-Aug-16,66.90,67.35,66.63,67.22,7541113,CMCSA
9-Aug-16,67.21,67.42,66.84,66.90,8391469,CMCSA
8-Aug-16,67.10,67.20,66.75,67.07,7304770,CMCSA
5-Aug-16,67.53,67.82,67.14,67.39,6914311,CMCSA
4-Aug-16,66.68,67.27,66.68,67.18,6729703,CMCSA
3-Aug-16,67.01,67.29,66.42,66.84,7468576,CMCSA
2-Aug-16,67.64,67.64,66.89,66.90,7045717,CMCSA
1-Aug-16,67.40,67.75,67.34,67.54,6598586,CMCSA
29-Jul-16,67.87,67.94,67.07,67.25,9927422,CMCSA
28-Jul-16,67.72,68.36,67.67,67.86,8844145,CMCSA
27-Jul-16,68.20,68.32,66.52,67.92,11852642,CMCSA
26-Jul-16,67.29,67.47,66.66,67.18,8490481,CMCSA
25-Jul-16,67.56,67.70,67.28,67.47,6028088,CMCSA
22-Jul-16,67.50,67.76,67.05,67.46,7688889,CMCSA
21-Jul-16,66.97,67.36,66.61,67.02,7496839,CMCSA
20-Jul-16,67.02,67.21,66.22,67.12,5942563,CMCSA
