Date,Open,High,Low,Close,Volume,TickerSymbol
30-Dec-16,35.21,35.31,34.67,34.84,7646079,GM
29-Dec-16,35.25,35.48,35.12,35.14,4416668,GM
28-Dec-16,35.74,35.80,35.13,35.15,8451852,GM
27-Dec-16,35.80,35.93,35.50,35.54,6008707,GM
23-Dec-16,35.83,35.87,35.54,35.69,9351152,GM
22-Dec-16,36.29,36.40,35.63,35.69,9911676,GM
21-Dec-16,36.50,36.69,36.36,36.42,6669726,GM
20-Dec-16,36.40,36.73,36.23,36.61,8795938,GM
19-Dec-16,36.49,36.73,36.15,36.40,10960811,GM
16-Dec-16,36.40,36.41,36.10,36.37,23751554,GM
15-Dec-16,35.87,36.39,35.78,36.24,18215586,GM
14-Dec-16,36.30,36.78,35.93,35.95,19798953,GM
13-Dec-16,37.15,37.44,36.95,37.36,9228758,GM
12-Dec-16,37.51,37.74,37.01,37.10,15575165,GM
9-Dec-16,36.41,37.68,36.41,37.66,26434231,GM
8-Dec-16,36.19,36.46,36.04,36.42,14516035,GM
7-Dec-16,35.18,36.54,35.09,36.30,26622378,GM
6-Dec-16,35.09,35.16,34.91,35.07,11867840,GM
5-Dec-16,35.35,35.46,34.91,34.94,12440397,GM
2-Dec-16,36.25,36.30,35.30,35.41,22753352,GM
1-Dec-16,34.81,36.66,34.79,36.43,37092255,GM
30-Nov-16,34.70,34.98,34.45,34.53,15681697,GM
29-Nov-16,34.03,34.58,33.86,34.57,12610022,GM
28-Nov-16,34.35,34.38,33.96,34.05,11516644,GM
25-Nov-16,34.00,34.32,33.93,34.25,5317746,GM
23-Nov-16,33.74,33.99,33.69,33.86,8710143,GM
22-Nov-16,32.82,33.82,32.77,33.81,12283808,GM
21-Nov-16,33.23,33.28,32.98,33.01,11667139,GM
18-Nov-16,33.40,33.42,32.96,33.00,8617196,GM
17-Nov-16,32.97,33.44,32.75,33.42,11700894,GM
16-Nov-16,33.36,33.36,33.07,33.23,8821326,GM
15-Nov-16,33.30,33.60,33.10,33.43,10906572,GM
14-Nov-16,33.90,34.42,33.05,33.28,20214731,GM
11-Nov-16,32.49,34.28,32.38,34.02,33042692,GM
10-Nov-16,30.93,32.83,30.91,32.73,27811866,GM
9-Nov-16,30.91,31.15,30.21,30.96,38594380,GM
8-Nov-16,31.90,31.97,31.41,31.73,10364579,GM
7-Nov-16,31.58,32.14,31.54,32.02,13560207,GM
4-Nov-16,31.00,31.54,30.94,31.16,12770824,GM
3-Nov-16,31.45,31.64,30.95,31.07,13720095,GM
2-Nov-16,31.33,31.72,31.31,31.45,11763111,GM
1-Nov-16,31.70,32.08,31.19,31.48,14668318,GM
31-Oct-16,31.42,31.65,31.35,31.60,7954138,GM
28-Oct-16,31.33,31.76,31.22,31.32,10571629,GM
27-Oct-16,31.75,31.78,31.19,31.33,20653609,GM
26-Oct-16,31.22,31.74,31.12,31.58,14955768,GM
25-Oct-16,32.85,32.85,31.39,31.60,34069794,GM
24-Oct-16,32.18,33.08,32.15,32.98,20232309,GM
21-Oct-16,31.58,32.17,31.48,32.04,11975706,GM
20-Oct-16,31.78,31.86,31.39,31.75,8077594,GM
19-Oct-16,31.54,31.98,31.48,31.85,9158569,GM
18-Oct-16,31.83,31.88,31.19,31.40,7973320,GM
17-Oct-16,31.84,32.06,31.53,31.56,7476141,GM
14-Oct-16,31.76,31.99,31.68,31.87,11105611,GM
13-Oct-16,31.48,31.63,30.88,31.51,12103388,GM
12-Oct-16,31.90,31.99,31.65,31.68,5597571,GM
11-Oct-16,32.23,32.28,31.69,31.89,7977527,GM
10-Oct-16,32.31,32.60,32.12,32.15,6094808,GM
7-Oct-16,32.50,32.60,32.05,32.34,8909389,GM
6-Oct-16,32.54,32.64,32.21,32.53,8611216,GM
5-Oct-16,32.31,32.78,32.23,32.68,11093547,GM
4-Oct-16,32.08,32.47,32.04,32.17,8506157,GM
3-Oct-16,31.64,32.24,31.61,32.04,11375863,GM
30-Sep-16,31.63,31.95,31.58,31.77,9330018,GM
29-Sep-16,31.77,31.96,31.45,31.48,8821201,GM
28-Sep-16,31.75,31.94,31.54,31.90,10713565,GM
27-Sep-16,31.77,31.96,31.54,31.60,14465340,GM
26-Sep-16,32.02,32.12,31.75,31.80,12700900,GM
23-Sep-16,32.10,32.37,32.05,32.12,9812127,GM
