Date,Open,High,Low,Close,Volume,TickerSymbol
30-Dec-16,10.13,10.34,10.00,10.30,124511,JMBA
29-Dec-16,10.16,10.33,10.06,10.15,66747,JMBA
28-Dec-16,10.30,10.39,10.16,10.19,92080,JMBA
27-Dec-16,10.20,10.40,10.20,10.35,67472,JMBA
23-Dec-16,10.25,10.34,10.14,10.22,45619,JMBA
22-Dec-16,10.60,10.61,10.21,10.25,54203,JMBA
21-Dec-16,10.27,10.65,10.21,10.62,170450,JMBA
20-Dec-16,10.38,10.51,10.23,10.31,124721,JMBA
19-Dec-16,10.38,10.54,10.31,10.34,57390,JMBA
16-Dec-16,10.46,10.55,10.39,10.41,83882,JMBA
15-Dec-16,10.59,10.59,10.37,10.41,46953,JMBA
14-Dec-16,10.60,10.65,10.35,10.43,54248,JMBA
13-Dec-16,10.71,10.76,10.55,10.62,61388,JMBA
12-Dec-16,10.72,10.80,10.67,10.70,45815,JMBA
9-Dec-16,10.38,10.75,10.38,10.72,78054,JMBA
8-Dec-16,10.08,10.51,10.06,10.46,169619,JMBA
7-Dec-16,10.05,10.21,10.03,10.10,110148,JMBA
6-Dec-16,10.17,10.17,10.00,10.03,86474,JMBA
5-Dec-16,10.12,10.38,10.10,10.17,103989,JMBA
2-Dec-16,10.09,10.28,9.99,10.15,84658,JMBA
1-Dec-16,9.93,10.19,9.65,10.05,161222,JMBA
30-Nov-16,10.17,10.24,9.87,9.92,177479,JMBA
29-Nov-16,10.11,10.24,10.10,10.13,32377,JMBA
28-Nov-16,10.26,10.26,10.12,10.15,31839,JMBA
25-Nov-16,10.30,10.30,10.21,10.25,14425,JMBA
23-Nov-16,10.11,10.38,10.05,10.29,66095,JMBA
22-Nov-16,10.22,10.29,10.07,10.17,100082,JMBA
21-Nov-16,10.07,10.24,9.71,10.19,54289,JMBA
18-Nov-16,10.09,10.23,10.00,10.11,163459,JMBA
17-Nov-16,10.02,10.18,10.01,10.07,54124,JMBA
16-Nov-16,10.02,10.18,9.96,10.04,111982,JMBA
15-Nov-16,9.90,10.12,9.70,10.02,42574,JMBA
14-Nov-16,10.16,10.28,9.98,10.01,72154,JMBA
11-Nov-16,10.20,10.29,10.03,10.18,162111,JMBA
10-Nov-16,10.17,10.32,10.09,10.13,110362,JMBA
9-Nov-16,9.61,10.19,9.27,10.14,101613,JMBA
8-Nov-16,9.70,9.86,9.69,9.75,54430,JMBA
7-Nov-16,9.64,9.93,9.37,9.79,106600,JMBA
4-Nov-16,9.50,10.12,9.25,9.75,123959,JMBA
3-Nov-16,10.53,10.60,10.18,10.24,65827,JMBA
2-Nov-16,10.39,10.48,10.28,10.45,42635,JMBA
1-Nov-16,10.52,10.60,10.36,10.38,54966,JMBA
31-Oct-16,10.57,10.61,10.43,10.55,38857,JMBA
28-Oct-16,10.58,10.61,10.53,10.56,35698,JMBA
27-Oct-16,10.58,10.58,10.14,10.55,35679,JMBA
26-Oct-16,10.59,10.62,10.45,10.50,22449,JMBA
25-Oct-16,10.37,10.63,10.26,10.60,48529,JMBA
24-Oct-16,10.55,10.67,10.00,10.59,22989,JMBA
21-Oct-16,10.52,10.70,10.52,10.59,19883,JMBA
20-Oct-16,10.69,10.69,9.93,10.61,83812,JMBA
19-Oct-16,10.53,10.74,10.36,10.69,40367,JMBA
18-Oct-16,10.68,10.68,10.51,10.51,36232,JMBA
17-Oct-16,10.70,10.74,10.58,10.61,46012,JMBA
14-Oct-16,10.85,10.89,10.67,10.72,139612,JMBA
13-Oct-16,10.72,10.87,10.62,10.82,44436,JMBA
12-Oct-16,10.72,10.84,10.68,10.74,40924,JMBA
11-Oct-16,10.82,10.86,10.69,10.69,50717,JMBA
10-Oct-16,10.75,10.82,10.69,10.79,36681,JMBA
7-Oct-16,10.77,10.80,10.53,10.69,33131,JMBA
6-Oct-16,10.78,10.82,10.65,10.73,29998,JMBA
5-Oct-16,10.67,10.84,10.58,10.81,63774,JMBA
4-Oct-16,10.71,10.79,10.63,10.67,47624,JMBA
3-Oct-16,10.84,10.95,10.66,10.73,37889,JMBA
30-Sep-16,10.92,10.98,10.84,10.92,50010,JMBA
29-Sep-16,10.91,11.03,10.77,10.83,83084,JMBA
28-Sep-16,10.75,11.05,10.73,10.94,126700,JMBA
27-Sep-16,10.61,10.90,10.61,10.89,109703,JMBA
26-Sep-16,10.41,10.62,10.32,10.60,75416,JMBA
23-Sep-16,10.61,10.69,10.42,10.52,73529,JMBA
22-Sep-16,10.59,10.69,10.57,10.61,40803,JMBA
21-Sep-16,10.48,10.59,10.44,10.52,50601,JMBA
20-Sep-16,10.62,10.64,10.43,10.47,66831,JMBA
19-Sep-16,10.55,10.64,10.55,10.56,66599,JMBA
