Date,Open,High,Low,Close,Volume,TickerSymbol
30-Dec-16,48.44,48.77,47.75,47.93,1552133,JWN
29-Dec-16,48.27,48.89,47.93,48.29,1455269,JWN
28-Dec-16,49.00,49.27,48.17,48.41,1674732,JWN
27-Dec-16,48.92,49.53,48.42,48.96,2313434,JWN
23-Dec-16,48.53,49.72,48.50,48.75,2331284,JWN
22-Dec-16,51.22,51.22,48.01,48.24,3841039,JWN
21-Dec-16,51.91,52.11,51.21,51.21,1513874,JWN
20-Dec-16,51.00,52.13,50.96,51.77,2844495,JWN
19-Dec-16,50.40,51.24,50.16,50.84,4003714,JWN
16-Dec-16,53.07,53.13,50.20,50.48,10748017,JWN
15-Dec-16,57.39,57.57,55.25,55.28,2205110,JWN
14-Dec-16,58.26,58.41,56.65,57.02,3782219,JWN
13-Dec-16,57.80,58.79,57.26,58.35,3275240,JWN
12-Dec-16,60.24,60.51,58.04,58.41,3785994,JWN
9-Dec-16,61.53,61.77,59.96,60.75,2761231,JWN
8-Dec-16,59.60,61.85,59.57,61.49,4141110,JWN
7-Dec-16,57.38,60.10,57.00,60.09,3345504,JWN
6-Dec-16,57.33,57.57,56.58,57.26,1870523,JWN
5-Dec-16,57.04,57.99,56.64,57.20,2702570,JWN
2-Dec-16,56.12,57.05,55.84,56.54,2088123,JWN
1-Dec-16,55.77,57.67,55.30,56.04,3454799,JWN
30-Nov-16,56.21,56.66,55.55,55.92,4235695,JWN
29-Nov-16,56.21,56.89,55.90,56.35,2858180,JWN
28-Nov-16,57.82,57.82,55.83,56.06,4388517,JWN
25-Nov-16,58.86,59.08,57.74,57.85,1147145,JWN
23-Nov-16,57.32,58.56,57.05,58.53,2428421,JWN
22-Nov-16,58.07,58.59,57.86,57.90,2472357,JWN
21-Nov-16,58.47,58.94,57.50,57.73,3210878,JWN
18-Nov-16,57.81,59.50,56.79,58.94,4053673,JWN
17-Nov-16,58.50,59.00,57.67,58.50,2659232,JWN
16-Nov-16,58.25,58.81,57.61,58.30,4020206,JWN
15-Nov-16,59.74,59.74,57.85,58.30,4644271,JWN
14-Nov-16,59.06,62.82,59.06,59.55,10520540,JWN
11-Nov-16,57.50,59.18,55.05,58.72,11523462,JWN
10-Nov-16,53.99,57.33,53.99,56.03,10673493,JWN
9-Nov-16,50.99,52.65,50.18,52.29,5374946,JWN
8-Nov-16,51.81,52.57,51.16,52.05,2984622,JWN
7-Nov-16,51.29,51.85,51.24,51.82,1724500,JWN
4-Nov-16,50.39,50.92,50.11,50.39,2274747,JWN
3-Nov-16,51.11,51.60,50.11,50.21,2218615,JWN
2-Nov-16,50.77,51.47,50.39,50.94,3006996,JWN
1-Nov-16,51.97,52.22,50.11,50.86,3285116,JWN
31-Oct-16,52.14,52.80,51.70,52.00,2638624,JWN
28-Oct-16,52.48,53.30,51.73,52.70,3375961,JWN
