Date,Open,High,Low,Close,Volume,TickerSymbol
30-Dec-16,64.20,64.58,63.52,64.39,1811519,KMX
29-Dec-16,64.00,64.60,63.50,63.90,1098873,KMX
28-Dec-16,64.61,65.95,63.55,63.79,1703273,KMX
27-Dec-16,64.22,64.66,63.92,64.31,1216092,KMX
23-Dec-16,64.04,64.80,63.44,64.04,1070049,KMX
22-Dec-16,65.76,66.07,63.58,64.06,2333813,KMX
21-Dec-16,66.02,66.43,65.57,66.00,2365035,KMX
20-Dec-16,61.87,66.64,61.73,66.16,4929970,KMX
19-Dec-16,62.15,62.78,62.02,62.36,3334664,KMX
16-Dec-16,62.93,63.84,61.93,62.15,2806173,KMX
15-Dec-16,61.51,62.92,61.51,62.82,1880008,KMX
14-Dec-16,61.95,62.32,61.27,61.42,2280887,KMX
13-Dec-16,63.15,63.26,61.67,61.93,2328446,KMX
12-Dec-16,62.78,63.32,62.08,62.80,3030554,KMX
9-Dec-16,63.95,64.06,62.69,62.80,2252321,KMX
8-Dec-16,62.87,64.88,62.77,64.16,2630073,KMX
7-Dec-16,60.34,62.98,60.34,62.80,2005607,KMX
6-Dec-16,58.66,60.56,58.66,60.50,2160323,KMX
5-Dec-16,58.55,58.89,58.04,58.08,1956660,KMX
2-Dec-16,59.16,59.27,57.90,57.99,2162841,KMX
1-Dec-16,58.15,59.38,57.76,59.10,2332673,KMX
30-Nov-16,57.56,58.04,57.35,57.79,1408609,KMX
29-Nov-16,57.73,58.07,56.96,57.51,1141598,KMX
28-Nov-16,58.28,58.61,57.32,57.37,1407885,KMX
25-Nov-16,58.36,58.86,58.24,58.38,455528,KMX
23-Nov-16,57.62,58.41,57.47,58.40,1383478,KMX
22-Nov-16,57.06,57.86,57.00,57.80,1797496,KMX
21-Nov-16,55.95,56.85,55.52,56.57,1736887,KMX
18-Nov-16,55.66,56.20,55.15,55.23,1697280,KMX
17-Nov-16,55.29,56.16,54.17,55.70,1997425,KMX
16-Nov-16,56.08,56.31,55.13,56.00,2019277,KMX
15-Nov-16,57.21,57.21,55.97,56.24,3479434,KMX
14-Nov-16,54.48,58.16,54.41,56.89,4188571,KMX
11-Nov-16,52.65,54.97,52.50,54.78,3068070,KMX
10-Nov-16,50.89,53.51,50.88,52.73,3013440,KMX
