Date,Open,High,Low,Close,Volume,TickerSymbol
30-Dec-16,56.28,56.45,55.40,55.52,8344508,SBUX
29-Dec-16,56.35,56.47,56.14,56.32,3781721,SBUX
28-Dec-16,56.80,56.90,56.25,56.35,5548726,SBUX
27-Dec-16,56.99,57.39,56.81,56.86,4186157,SBUX
23-Dec-16,57.29,57.36,56.89,57.01,4298476,SBUX
22-Dec-16,57.31,57.40,56.72,57.11,6777656,SBUX
21-Dec-16,57.50,57.87,57.41,57.44,5380537,SBUX
20-Dec-16,57.81,58.06,57.32,57.70,4888284,SBUX
19-Dec-16,57.44,57.98,57.44,57.65,6433824,SBUX
16-Dec-16,58.01,58.07,57.56,57.66,10611461,SBUX
15-Dec-16,57.97,58.21,57.52,57.71,11837756,SBUX
14-Dec-16,59.03,59.25,58.60,58.75,9022867,SBUX
13-Dec-16,58.99,59.54,58.66,59.31,8878080,SBUX
12-Dec-16,58.54,58.79,58.34,58.77,7736198,SBUX
9-Dec-16,58.92,58.95,58.43,58.75,7091577,SBUX
8-Dec-16,59.00,59.25,58.41,58.65,7972498,SBUX
7-Dec-16,57.54,58.85,57.45,58.76,9094812,SBUX
6-Dec-16,57.66,57.70,57.14,57.44,7035674,SBUX
5-Dec-16,56.96,57.84,56.96,57.50,7701167,SBUX
2-Dec-16,56.65,57.75,56.57,57.21,16869957,SBUX
1-Dec-16,57.34,58.52,57.20,58.51,12381607,SBUX
30-Nov-16,58.19,58.25,57.86,57.97,9527959,SBUX
29-Nov-16,57.64,58.21,57.50,58.17,10582850,SBUX
28-Nov-16,57.00,57.86,56.76,57.59,8750925,SBUX
25-Nov-16,57.70,57.70,57.26,57.43,3228848,SBUX
23-Nov-16,56.91,57.64,56.90,57.59,8183628,SBUX
22-Nov-16,56.32,57.15,55.88,57.12,10268720,SBUX
21-Nov-16,55.51,56.16,55.51,56.10,8004000,SBUX
18-Nov-16,55.72,56.12,55.42,55.77,8740953,SBUX
17-Nov-16,55.22,55.90,55.06,55.85,8717249,SBUX
16-Nov-16,54.33,55.52,54.26,55.44,10779155,SBUX
15-Nov-16,54.09,54.69,53.90,54.59,9588036,SBUX
14-Nov-16,53.93,54.47,53.50,54.22,10489826,SBUX
11-Nov-16,53.43,53.99,53.25,53.93,8436435,SBUX
10-Nov-16,54.64,54.82,53.51,53.57,13621701,SBUX
9-Nov-16,53.20,54.82,52.80,54.58,13727777,SBUX
8-Nov-16,54.40,54.79,54.12,54.62,9351994,SBUX
7-Nov-16,53.50,54.68,53.19,54.49,14916848,SBUX
4-Nov-16,51.43,53.74,50.84,52.75,21956848,SBUX
3-Nov-16,52.99,53.00,51.34,51.77,21847292,SBUX
2-Nov-16,52.34,53.46,52.31,52.98,10851658,SBUX
1-Nov-16,53.14,53.21,52.08,52.50,15425819,SBUX
31-Oct-16,53.70,53.70,53.06,53.07,9142509,SBUX
28-Oct-16,53.65,53.84,53.11,53.53,6620333,SBUX
27-Oct-16,53.60,53.83,53.13,53.59,7899957,SBUX
26-Oct-16,53.60,53.84,53.36,53.63,5817798,SBUX
25-Oct-16,54.10,54.17,53.50,53.67,6052830,SBUX
24-Oct-16,53.90,54.46,53.89,54.18,6919714,SBUX
21-Oct-16,53.42,53.70,53.25,53.63,6767204,SBUX
20-Oct-16,53.36,53.74,52.91,53.59,9286800,SBUX
